match_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,home_team_score_penalties,away_team_score_penalties,home_team_win,away_team_win,yellow_card,red_card,substitutions
France v Mexico,T-28,France,FRA,T-44,Mexico,MEX,4–1,4,1,3,-3,0,0,1,0,6,0,5
Belgium v United States,T-06,Belgium,BEL,T-79,United States,USA,0–3,0,3,-3,3,0,0,0,1,0,0,0
Brazil v Yugoslavia,T-09,Brazil,BRA,T-83,Yugoslavia,YUG,1–2,1,2,-1,1,0,0,0,1,0,0,0
Peru v Romania,T-54,Peru,PER,T-58,Romania,ROU,1–3,1,3,-2,2,0,0,0,1,0,1,0
Argentina v France,T-03,Argentina,ARG,T-28,France,FRA,1–0,1,0,1,-1,0,0,1,0,1,0,3
Chile v Mexico,T-13,Chile,CHL,T-44,Mexico,MEX,3–0,3,0,3,-3,0,0,1,0,0,0,0
Bolivia v Yugoslavia,T-07,Bolivia,BOL,T-83,Yugoslavia,YUG,0–4,0,4,-4,4,0,0,0,1,0,0,0
Paraguay v United States,T-53,Paraguay,PRY,T-79,United States,USA,0–3,0,3,-3,3,0,0,0,1,0,0,0
Peru v Uruguay,T-54,Peru,PER,T-80,Uruguay,URY,0–1,0,1,-1,1,0,0,0,1,0,0,0
Chile v France,T-13,Chile,CHL,T-28,France,FRA,1–0,1,0,1,-1,0,0,1,0,0,0,0
Argentina v Mexico,T-03,Argentina,ARG,T-44,Mexico,MEX,6–3,6,3,3,-3,0,0,1,0,7,0,11
Bolivia v Brazil,T-07,Bolivia,BOL,T-09,Brazil,BRA,0–4,0,4,-4,4,0,0,0,1,0,0,0
Belgium v Paraguay,T-06,Belgium,BEL,T-53,Paraguay,PRY,0–1,0,1,-1,1,0,0,0,1,2,0,2
Romania v Uruguay,T-58,Romania,ROU,T-80,Uruguay,URY,0–4,0,4,-4,4,0,0,0,1,0,0,0
Argentina v Chile,T-03,Argentina,ARG,T-13,Chile,CHL,3–1,3,1,2,-2,0,0,1,0,0,0,0
Argentina v United States,T-03,Argentina,ARG,T-79,United States,USA,6–1,6,1,5,-5,0,0,1,0,0,0,0
Uruguay v Yugoslavia,T-80,Uruguay,URY,T-83,Yugoslavia,YUG,6–1,6,1,5,-5,0,0,1,0,0,0,0
Argentina v Uruguay,T-03,Argentina,ARG,T-80,Uruguay,URY,2–4,2,4,-2,2,0,0,0,1,0,0,0
Austria v France,T-05,Austria,AUT,T-28,France,FRA,3–2,3,2,1,-1,0,0,1,0,1,0,4
Czechoslovakia v Romania,T-20,Czechoslovakia,CSK,T-58,Romania,ROU,2–1,2,1,1,-1,0,0,1,0,0,0,0
Belgium v Germany,T-06,Belgium,BEL,T-29,Germany,DEU,2–5,2,5,-3,3,0,0,0,1,3,0,4
Egypt v Hungary,T-25,Egypt,EGY,T-34,Hungary,HUN,2–4,2,4,-2,2,0,0,0,1,0,1,0
Italy v United States,T-39,Italy,ITA,T-79,United States,USA,7–1,7,1,6,-6,0,0,1,0,7,3,8
Brazil v Spain,T-09,Brazil,BRA,T-70,Spain,ESP,1–3,1,3,-2,2,0,0,0,1,2,0,3
Argentina v Sweden,T-03,Argentina,ARG,T-71,Sweden,SWE,2–3,2,3,-1,1,0,0,0,1,5,0,6
Netherlands v Switzerland,T-46,Netherlands,NLD,T-72,Switzerland,CHE,2–3,2,3,-1,1,0,0,0,1,0,0,0
Austria v Hungary,T-05,Austria,AUT,T-34,Hungary,HUN,2–1,2,1,1,-1,0,0,1,0,0,0,0
Czechoslovakia v Switzerland,T-20,Czechoslovakia,CSK,T-72,Switzerland,CHE,3–2,3,2,1,-1,0,0,1,0,0,0,0
Germany v Sweden,T-29,Germany,DEU,T-71,Sweden,SWE,2–1,2,1,1,-1,0,0,1,0,11,2,12
Italy v Spain,T-39,Italy,ITA,T-70,Spain,ESP,1–1,1,1,0,0,0,0,0,0,2,0,4
Italy v Spain,T-39,Italy,ITA,T-70,Spain,ESP,1–0,1,0,1,-1,0,0,1,0,2,0,4
Czechoslovakia v Germany,T-20,Czechoslovakia,CSK,T-29,Germany,DEU,3–1,3,1,2,-2,0,0,1,0,0,0,0
Austria v Italy,T-05,Austria,AUT,T-39,Italy,ITA,0–1,0,1,-1,1,0,0,0,1,6,0,13
Austria v Germany,T-05,Austria,AUT,T-29,Germany,DEU,2–3,2,3,-1,1,0,0,0,1,0,0,0
Czechoslovakia v Italy,T-20,Czechoslovakia,CSK,T-39,Italy,ITA,1–2,1,2,-1,1,0,0,0,1,4,0,4
Germany v Switzerland,T-29,Germany,DEU,T-72,Switzerland,CHE,1–1,1,1,0,0,0,0,0,0,0,1,0
Cuba v Romania,T-18,Cuba,CUB,T-58,Romania,ROU,3–3,3,3,0,0,0,0,0,0,0,0,0
Belgium v France,T-06,Belgium,BEL,T-28,France,FRA,1–3,1,3,-2,2,0,0,0,1,5,0,5
Dutch East Indies v Hungary,T-22,Dutch East Indies,IDN,T-34,Hungary,HUN,0–6,0,6,-6,6,0,0,0,1,0,0,0
Italy v Norway,T-39,Italy,ITA,T-51,Norway,NOR,2–1,2,1,1,-1,0,0,1,0,9,1,11
Brazil v Poland,T-09,Brazil,BRA,T-55,Poland,POL,6–5,6,5,1,-1,0,0,1,0,7,0,10
Czechoslovakia v Netherlands,T-20,Czechoslovakia,CSK,T-46,Netherlands,NLD,3–0,3,0,3,-3,0,0,1,0,0,0,0
Cuba v Romania,T-18,Cuba,CUB,T-58,Romania,ROU,2–1,2,1,1,-1,0,0,1,0,0,0,0
Germany v Switzerland,T-29,Germany,DEU,T-72,Switzerland,CHE,2–4,2,4,-2,2,0,0,0,1,0,1,0
Brazil v Czechoslovakia,T-09,Brazil,BRA,T-20,Czechoslovakia,CSK,1–1,1,1,0,0,0,0,0,0,1,3,3
Hungary v Switzerland,T-34,Hungary,HUN,T-72,Switzerland,CHE,2–0,2,0,2,-2,0,0,1,0,0,0,0
France v Italy,T-28,France,FRA,T-39,Italy,ITA,1–3,1,3,-2,2,0,0,0,1,15,1,18
Cuba v Sweden,T-18,Cuba,CUB,T-71,Sweden,SWE,0–8,0,8,-8,8,0,0,0,1,0,0,0
Brazil v Czechoslovakia,T-09,Brazil,BRA,T-20,Czechoslovakia,CSK,2–1,2,1,1,-1,0,0,1,0,1,3,3
Hungary v Sweden,T-34,Hungary,HUN,T-71,Sweden,SWE,5–1,5,1,4,-4,0,0,1,0,0,0,0
Brazil v Italy,T-09,Brazil,BRA,T-39,Italy,ITA,1–2,1,2,-1,1,0,0,0,1,2,0,3
Brazil v Sweden,T-09,Brazil,BRA,T-71,Sweden,SWE,4–2,4,2,2,-2,0,0,1,0,8,0,10
Hungary v Italy,T-34,Hungary,HUN,T-39,Italy,ITA,2–4,2,4,-2,2,0,0,0,1,2,0,4
Brazil v Mexico,T-09,Brazil,BRA,T-44,Mexico,MEX,4–0,4,0,4,-4,0,0,1,0,10,0,12
Switzerland v Yugoslavia,T-72,Switzerland,CHE,T-83,Yugoslavia,YUG,0–3,0,3,-3,3,0,0,0,1,0,0,0
Chile v England,T-13,Chile,CHL,T-27,England,ENG,0–2,0,2,-2,2,0,0,0,1,0,0,0
Spain v United States,T-70,Spain,ESP,T-79,United States,USA,3–1,3,1,2,-2,0,0,1,0,0,0,0
Italy v Sweden,T-39,Italy,ITA,T-71,Sweden,SWE,2–3,2,3,-1,1,0,0,0,1,0,0,0
Brazil v Switzerland,T-09,Brazil,BRA,T-72,Switzerland,CHE,2–2,2,2,0,0,0,0,0,0,4,0,6
Mexico v Yugoslavia,T-44,Mexico,MEX,T-83,Yugoslavia,YUG,1–4,1,4,-3,3,0,0,0,1,0,0,0
Chile v Spain,T-13,Chile,CHL,T-70,Spain,ESP,0–2,0,2,-2,2,0,0,0,1,3,0,6
England v United States,T-27,England,ENG,T-79,United States,USA,0–1,0,1,-1,1,0,0,0,1,0,0,0
Paraguay v Sweden,T-53,Paraguay,PRY,T-71,Sweden,SWE,2–2,2,2,0,0,0,0,0,0,8,0,6
Brazil v Yugoslavia,T-09,Brazil,BRA,T-83,Yugoslavia,YUG,2–0,2,0,2,-2,0,0,1,0,2,0,0
Chile v United States,T-13,Chile,CHL,T-79,United States,USA,5–2,5,2,3,-3,0,0,1,0,0,0,0
England v Spain,T-27,England,ENG,T-70,Spain,ESP,0–1,0,1,-1,1,0,0,0,1,1,0,4
Italy v Paraguay,T-39,Italy,ITA,T-53,Paraguay,PRY,2–0,2,0,2,-2,0,0,1,0,2,0,6
Bolivia v Uruguay,T-07,Bolivia,BOL,T-80,Uruguay,URY,0–8,0,8,-8,8,0,0,0,1,0,0,0
Mexico v Switzerland,T-44,Mexico,MEX,T-72,Switzerland,CHE,1–2,1,2,-1,1,0,0,0,1,0,0,0
Brazil v Sweden,T-09,Brazil,BRA,T-71,Sweden,SWE,7–1,7,1,6,-6,0,0,1,0,8,0,10
Spain v Uruguay,T-70,Spain,ESP,T-80,Uruguay,URY,2–2,2,2,0,0,0,0,0,0,4,0,4
Brazil v Spain,T-09,Brazil,BRA,T-70,Spain,ESP,6–1,6,1,5,-5,0,0,1,0,1,0,4
Sweden v Uruguay,T-71,Sweden,SWE,T-80,Uruguay,URY,2–3,2,3,-1,1,0,0,0,1,0,0,0
Spain v Sweden,T-70,Spain,ESP,T-71,Sweden,SWE,1–3,1,3,-2,2,0,0,0,1,0,0,0
Brazil v Uruguay,T-09,Brazil,BRA,T-80,Uruguay,URY,1–2,1,2,-1,1,0,0,0,1,0,0,0
Brazil v Mexico,T-09,Brazil,BRA,T-44,Mexico,MEX,5–0,5,0,5,-5,0,0,1,0,10,0,12
France v Yugoslavia,T-28,France,FRA,T-83,Yugoslavia,YUG,0–1,0,1,-1,1,0,0,0,1,0,0,0
Austria v Scotland,T-05,Austria,AUT,T-61,Scotland,SCO,1–0,1,0,1,-1,0,0,1,0,0,0,0
Czechoslovakia v Uruguay,T-20,Czechoslovakia,CSK,T-80,Uruguay,URY,0–2,0,2,-2,2,0,0,0,1,0,0,0
Italy v Switzerland,T-39,Italy,ITA,T-72,Switzerland,CHE,1–2,1,2,-1,1,0,0,0,1,0,0,0
Hungary v South Korea,T-34,Hungary,HUN,T-68,South Korea,KOR,9–0,9,0,9,-9,0,0,1,0,0,0,0
Turkey v West Germany,T-76,Turkey,TUR,T-82,West Germany,DEU,1–4,1,4,-3,3,0,0,0,1,0,0,0
Belgium v England,T-06,Belgium,BEL,T-27,England,ENG,4–4,4,4,0,0,0,0,0,0,3,0,8
Scotland v Uruguay,T-61,Scotland,SCO,T-80,Uruguay,URY,0–7,0,7,-7,7,0,0,0,1,0,0,0
Brazil v Yugoslavia,T-09,Brazil,BRA,T-83,Yugoslavia,YUG,1–1,1,1,0,0,0,0,0,0,2,0,0
Austria v Czechoslovakia,T-05,Austria,AUT,T-20,Czechoslovakia,CSK,5–0,5,0,5,-5,0,0,1,0,5,0,4
France v Mexico,T-28,France,FRA,T-44,Mexico,MEX,3–2,3,2,1,-1,0,0,1,0,6,0,5
Hungary v West Germany,T-34,Hungary,HUN,T-82,West Germany,DEU,8–3,8,3,5,-5,0,0,1,0,0,0,0
South Korea v Turkey,T-68,South Korea,KOR,T-76,Turkey,TUR,0–7,0,7,-7,7,0,0,0,1,0,0,0
Belgium v Italy,T-06,Belgium,BEL,T-39,Italy,ITA,1–4,1,4,-3,3,0,0,0,1,0,0,0
England v Switzerland,T-27,England,ENG,T-72,Switzerland,CHE,2–0,2,0,2,-2,0,0,1,0,0,0,0
Turkey v West Germany,T-76,Turkey,TUR,T-82,West Germany,DEU,2–7,2,7,-5,5,0,0,0,1,0,0,0
Italy v Switzerland,T-39,Italy,ITA,T-72,Switzerland,CHE,1–4,1,4,-3,3,0,0,0,1,0,0,0
Austria v Switzerland,T-05,Austria,AUT,T-72,Switzerland,CHE,7–5,7,5,2,-2,0,0,1,0,0,0,0
England v Uruguay,T-27,England,ENG,T-80,Uruguay,URY,2–4,2,4,-2,2,0,0,0,1,2,0,6
Brazil v Hungary,T-09,Brazil,BRA,T-34,Hungary,HUN,2–4,2,4,-2,2,0,0,0,1,0,1,0
West Germany v Yugoslavia,T-82,West Germany,DEU,T-83,Yugoslavia,YUG,2–0,2,0,2,-2,0,0,1,0,1,0,4
Hungary v Uruguay,T-34,Hungary,HUN,T-80,Uruguay,URY,4–2,4,2,2,-2,0,0,1,0,0,0,0
Austria v West Germany,T-05,Austria,AUT,T-82,West Germany,DEU,1–6,1,6,-5,5,0,0,0,1,2,0,2
Austria v Uruguay,T-05,Austria,AUT,T-80,Uruguay,URY,3–1,3,1,2,-2,0,0,1,0,0,0,0
Hungary v West Germany,T-34,Hungary,HUN,T-82,West Germany,DEU,2–3,2,3,-1,1,0,0,0,1,0,0,0
Mexico v Sweden,T-44,Mexico,MEX,T-71,Sweden,SWE,0–3,0,3,-3,3,0,0,0,1,0,0,0
Argentina v West Germany,T-03,Argentina,ARG,T-82,West Germany,DEU,1–3,1,3,-2,2,0,0,0,1,6,0,3
Czechoslovakia v Northern Ireland,T-20,Czechoslovakia,CSK,T-50,Northern Ireland,NIR,0–1,0,1,-1,1,0,0,0,1,0,1,0
France v Paraguay,T-28,France,FRA,T-53,Paraguay,PRY,7–3,7,3,4,-4,0,0,1,0,5,0,6
Scotland v Yugoslavia,T-61,Scotland,SCO,T-83,Yugoslavia,YUG,1–1,1,1,0,0,0,0,0,0,0,0,0
Hungary v Wales,T-34,Hungary,HUN,T-81,Wales,WAL,1–1,1,1,0,0,0,0,0,0,0,0,0
Austria v Brazil,T-05,Austria,AUT,T-09,Brazil,BRA,0–3,0,3,-3,3,0,0,0,1,0,0,4
England v Soviet Union,T-27,England,ENG,T-69,Soviet Union,SUN,2–2,2,2,0,0,0,0,0,0,0,0,0
Argentina v Northern Ireland,T-03,Argentina,ARG,T-50,Northern Ireland,NIR,3–1,3,1,2,-2,0,0,1,0,0,0,0
Czechoslovakia v West Germany,T-20,Czechoslovakia,CSK,T-82,West Germany,DEU,2–2,2,2,0,0,0,0,0,0,0,0,0
Paraguay v Scotland,T-53,Paraguay,PRY,T-61,Scotland,SCO,3–2,3,2,1,-1,0,0,1,0,0,0,0
France v Yugoslavia,T-28,France,FRA,T-83,Yugoslavia,YUG,2–3,2,3,-1,1,0,0,0,1,0,0,0
Mexico v Wales,T-44,Mexico,MEX,T-81,Wales,WAL,1–1,1,1,0,0,0,0,0,0,0,0,0
Brazil v England,T-09,Brazil,BRA,T-27,England,ENG,0–0,0,0,0,0,0,0,0,0,1,0,3
Austria v Soviet Union,T-05,Austria,AUT,T-69,Soviet Union,SUN,0–2,0,2,-2,2,0,0,0,1,0,0,0
Hungary v Sweden,T-34,Hungary,HUN,T-71,Sweden,SWE,1–2,1,2,-1,1,0,0,0,1,0,0,0
Sweden v Wales,T-71,Sweden,SWE,T-81,Wales,WAL,0–0,0,0,0,0,0,0,0,0,0,0,0
