player_id,family_name,given_name,total_games_played,n_minutes_played,n_tournaments,n_tournaments_played,total_final_match_played,n_wc_wins,total_goals,total_penalty_scored,0
P-01858,Maldini,Paolo,23,2217,4,4,1,0,0,0,-1
P-01993,Matthäus,Lothar,25,2054,5,5,2,1,6,2,-1
P-04896,Seeler,Uwe,21,1980,4,4,1,0,9,0,-1
P-06163,Mascherano,Javier,20,1950,4,4,1,0,0,0,-1
P-06516,Maradona,Diego,21,1938,4,4,2,1,8,0,-1
P-02284,Żmuda,Władysław,21,1808,4,4,0,0,0,0,-1
P-07200,Lato,Grzegorz,20,1800,3,3,0,0,10,0,-1
P-05239,Klose,Miroslav,24,1792,4,4,2,1,16,0,-1
P-01728,Overath,Wolfgang,19,1764,3,3,2,1,3,0,-1
P-04356,Beckenbauer,Franz,18,1692,3,3,2,1,5,0,-1
P-07436,Taffarel,Cláudio,18,1680,3,3,2,1,0,0,-1
P-00148,Dunga,not applicable,18,1675,3,3,2,1,0,0,-1
P-08404,Cafu,not applicable,20,1639,4,4,3,2,0,0,-1
P-06410,Messi,Lionel,19,1626,4,4,1,0,6,0,-1
P-04601,Ronaldo,not applicable,19,1625,4,3,2,2,15,1,-1
P-06099,Barthez,Fabien,17,1614,3,3,2,1,0,0,-1
P-07393,Berthold,Thomas,18,1564,3,3,2,1,0,0,-1
P-06808,Carlos,Roberto,17,1560,3,3,2,1,1,0,-1
P-06373,Sneijder,Wesley,17,1554,3,3,1,0,6,0,-1
P-02847,Márquez,Rafael,19,1554,5,5,0,0,3,0,-1
P-00872,Scifo,Enzo,17,1546,4,4,0,0,3,0,-1
P-01770,Thuram,Lilian,16,1524,3,3,2,1,2,0,-1
P-00876,Klinsmann,Jürgen,17,1524,3,3,1,1,11,0,-1
P-06318,Schnellinger,Karl-Heinz,17,1522,4,4,1,0,1,0,-1
P-05286,van Persie,Robin,17,1484,3,3,1,0,6,1,-1
P-03015,Ronaldo,Cristiano,17,1474,4,4,0,0,7,2,-1
P-07202,Kempes,Mario,18,1447,3,3,1,1,6,0,-1
P-07877,Jairzinho,not applicable,16,1430,3,3,1,1,9,0,-1
P-06983,Ruggeri,Oscar,16,1412,3,3,2,1,1,0,-1
P-04298,Hong,Myung-bo,16,1409,4,4,0,0,2,0,-1
P-04894,Santos,Nílton,15,1380,4,3,2,2,1,0,-1
P-09343,Didi,not applicable,15,1380,3,3,2,2,3,0,-1
P-00904,Müller,Thomas,16,1363,3,3,1,1,10,1,-1
P-09457,Schäfer,Hans,15,1350,3,3,1,1,7,0,-1
P-06098,Robben,Arjen,15,1348,3,3,1,0,6,0,-1
P-07217,Brehme,Andreas,16,1330,3,3,2,1,4,1,-1
P-08975,Rummenigge,Karl-Heinz,19,1274,3,3,2,0,9,0,-1
P-00008,Rivaldo,not applicable,14,1266,2,2,2,1,8,1,-1
P-07530,Platini,Michel,14,1261,3,3,0,0,5,1,-1
P-02216,Breitner,Paul,14,1261,2,2,2,1,4,1,-1
P-04950,Gilmar,not applicable,14,1260,3,3,2,2,0,0,-1
P-03795,Pelé,not applicable,14,1260,4,4,2,3,12,0,-1
P-02255,Burruchaga,Jorge,14,1233,2,2,2,1,3,0,-1
P-02483,Müller,Gerd,13,1230,2,2,1,1,14,1,-1
P-00985,Cavani,Edinson,14,1227,3,3,0,0,5,1,-1
P-07597,Podolski,Lukas,15,1222,3,3,0,1,5,0,-1
P-08138,Rivellino,not applicable,15,1211,3,3,1,1,6,0,-1
P-09078,Baggio,Roberto,16,1208,3,3,1,0,9,2,-1
P-08703,Rossi,Paolo,14,1206,3,2,1,1,9,0,-1
P-05954,Bebeto,not applicable,15,1191,3,3,2,1,6,0,-1
P-05795,Littbarski,Pierre,18,1180,3,3,2,1,3,0,-1
P-06999,Henry,Thierry,17,1175,4,4,1,1,6,0,-1
P-05749,Suárez,Luis,13,1171,3,3,0,0,7,0,-1
P-02777,Lineker,Gary,12,1159,2,2,0,0,10,2,-1
P-02210,Rep,Johnny,14,1158,2,2,2,0,7,0,-1
P-01321,Aldair,not applicable,13,1144,3,2,2,1,0,0,-1
P-07325,Rensenbrink,Rob,13,1133,2,2,2,0,6,4,-1
P-03582,Zidane,Zinedine,12,1111,3,3,2,1,5,2,-1
P-08651,Santos,Djalma,12,1110,4,4,2,2,1,1,-1
P-00705,Passarella,Daniel,12,1110,3,2,1,2,3,2,-1
P-01348,Cubillas,Teófilo,13,1097,3,3,0,0,10,2,-1
P-06818,Donovan,Landon,12,1095,3,3,0,0,5,1,-1
P-07205,Zagallo,Mário,12,1080,2,2,2,2,2,0,-1
P-04025,Garrincha,not applicable,12,1080,3,3,2,2,5,0,-1
P-00300,Higuaín,Gonzalo,14,1047,3,3,1,0,5,0,-1
P-00614,Beckham,David,13,1028,3,3,0,0,3,1,-1
P-07680,Gyan,Asamoah,11,1027,3,3,0,0,6,2,-1
P-07240,Völler,Rudi,15,1024,3,3,2,1,8,0,-1
P-03244,Alonso,Xabi,13,1021,3,3,1,1,2,1,-1
P-01968,Hierro,Fernando,12,1018,4,3,0,0,5,3,-1
P-00830,Szarmach,Andrzej,13,1008,3,3,0,0,7,0,-1
P-03056,Modrić,Luka,12,994,3,3,1,0,2,1,-1
P-07695,Neeskens,Johan,12,992,2,2,2,0,5,3,-1
P-05420,Walter,Fritz,11,990,2,2,1,1,3,2,-1
P-05392,Batistuta,Gabriel,12,987,3,3,0,0,10,4,-1
P-07271,Vieira,Patrick,12,945,3,3,2,1,2,0,-1
P-09697,Larsson,Henrik,13,927,3,3,0,0,5,1,-1
P-04291,Villa,David,12,902,3,3,1,1,9,2,-1
P-08148,Rahn,Helmut,10,900,2,2,1,1,10,0,-1
P-03621,Meazza,Giuseppe,9,900,2,2,2,2,3,1,-1
P-01219,Vavá,not applicable,10,900,2,2,2,2,9,0,-1
P-06750,Ferrari,Giovanni,9,900,2,2,2,2,2,0,-1
P-07351,Zito,not applicable,10,900,3,2,2,2,1,0,-1
P-03789,Monti,Luis,9,870,2,2,2,1,2,0,-1
P-06855,Stoichkov,Hristo,10,869,2,2,0,0,6,3,-1
P-06140,Griezmann,Antoine,12,868,2,2,1,1,4,3,-1
P-00729,Blanco,Cuauhtémoc,11,823,3,3,0,0,3,2,-1
P-01266,Totti,Francesco,11,813,2,2,1,1,1,1,-1
P-03393,Tichy,Lajos,9,810,3,2,1,0,7,0,-1
P-08039,Haller,Helmut,9,796,3,3,1,0,6,1,-1
P-03653,Zico,not applicable,14,770,3,3,0,0,5,1,-1
P-09952,Ronaldinho,not applicable,10,767,2,2,1,1,2,1,-1
P-06519,Torres,Fernando,14,731,3,3,1,1,4,1,-1
P-07100,Kopa,Raymond,8,720,2,2,0,0,4,2,-1
P-07138,Bellini,Hilderaldo,8,720,3,2,1,2,0,0,-1
P-01626,Djorkaeff,Youri,9,660,2,2,1,1,1,1,-1
P-03935,Eto'o,Samuel,8,655,4,4,0,0,3,1,-1
P-05627,Nejedlý,Oldřich,6,630,2,2,1,0,7,1,-1
P-06216,Míguez,Oscar,7,630,2,2,0,1,8,0,-1
P-07220,García Aspe,Alberto,8,627,3,3,0,0,2,2,-1
