player_id,family_name,given_name,total_games_played,n_minutes_played,n_tournaments,n_tournaments_played,total_final_match_played,n_wc_wins,total_goals,total_penalty_scored,0
P-00485,Lahm,Philipp,20,1920,3,3,1,1,1,0,1
P-00329,Vogts,Berti,19,1770,3,3,1,1,0,0,1
P-08617,Cannavaro,Fabio,18,1710,4,4,1,1,0,0,1
P-02456,Maier,Sepp,18,1680,4,3,1,1,0,0,1
P-00260,Mertesacker,Per,19,1666,3,3,1,1,0,0,1
P-03082,Schweinsteiger,Bastian,20,1657,3,3,1,1,2,0,1
P-05815,Scirea,Gaetano,18,1620,3,3,1,1,0,0,1
P-06875,Casillas,Iker,17,1620,4,4,1,1,0,0,1
P-05548,Cabrini,Antonio,18,1609,3,3,1,1,1,0,1
P-00234,Ramos,Sergio,17,1577,4,4,1,1,0,0,1
P-03875,Zoff,Dino,17,1530,4,3,1,1,0,0,1
P-01527,Lúcio,not applicable,17,1530,3,3,1,1,0,0,1
P-06554,Neuer,Manuel,16,1500,3,3,1,1,0,0,1
P-04483,Bergomi,Giuseppe,16,1464,4,4,1,1,0,0,1
P-05458,Özil,Mesut,16,1422,3,3,1,1,2,0,1
P-00568,Puyol,Carles,14,1344,3,3,1,1,1,0,1
P-07605,Silva,Gilberto,16,1324,3,3,1,1,0,0,1
P-03585,Schumacher,Harald,14,1320,2,2,2,0,0,0,1
P-05905,Moore,Bobby,14,1320,3,3,1,1,0,0,1
P-00132,Buffon,Gianluigi,14,1303,5,4,1,1,0,0,1
P-01182,Förster,Karlheinz,14,1301,2,2,2,0,0,0,1
P-02465,Krol,Ruud,14,1290,2,2,2,0,1,0,1
P-04732,Lloris,Hugo,14,1260,3,3,1,1,0,0,1
P-03221,Jansen,Wim,14,1243,2,2,2,0,0,0,1
P-00227,Charlton,Bobby,14,1218,4,3,1,1,4,0,1
P-02305,Zambrotta,Gianluca,13,1212,3,3,1,1,1,0,1
P-02237,Iniesta,Andrés,14,1202,4,4,1,1,2,0,1
P-06100,Busquets,Sergio,13,1201,3,3,1,1,0,0,1
P-02665,Fillol,Ubaldo,13,1200,3,3,1,1,0,0,1
P-09366,Haan,Arie,13,1200,2,2,2,0,2,0,1
P-09300,Kohler,Jürgen,13,1200,3,3,1,1,0,0,1
P-00766,Boateng,Jérôme,14,1195,3,3,1,1,0,0,1
P-09857,Briegel,Hans-Peter,13,1180,2,2,2,0,0,0,1
P-02669,Gentile,Claudio,13,1170,2,2,1,1,0,0,1
P-06751,Tardelli,Marco,13,1155,3,2,1,1,2,0,1
P-00448,Piqué,Gerard,12,1140,3,3,1,1,0,0,1
P-02338,Branco,not applicable,12,1140,3,3,1,1,1,0,1
P-06930,Xavi,not applicable,15,1127,4,4,1,1,0,0,1
P-06922,Olguín,Jorge,12,1110,2,2,1,1,0,0,1
P-02228,Illgner,Bodo,12,1110,2,2,1,1,0,0,1
P-00040,Galván,Luis,12,1110,2,2,1,1,0,0,1
P-08408,Häßler,Thomas,14,1105,3,3,1,1,0,0,1
P-05505,Jongbloed,Jan,12,1090,2,2,2,0,0,0,1
P-06305,Tarantini,Alberto,12,1071,2,2,1,1,1,0,1
P-03473,Kroos,Toni,14,1023,3,3,1,1,3,0,1
P-06400,Varane,Raphaël,12,1020,2,2,1,1,1,0,1
P-01908,Gallego,Américo,11,1009,2,2,1,1,0,0,1
P-01038,Giusti,Ricardo,11,981,2,2,1,1,0,0,1
P-09247,Pirlo,Andrea,11,973,3,3,1,1,1,0,1
P-08987,Suurbier,Wim,11,942,2,2,2,0,0,0,1
