match_name,total_teams_score,yellow_card,red_card,substitutions,n_same_squad_match,0
Argentina v Brazil,8,17,4,33,4,-1
Argentina v Bulgaria,5,33,3,24,3,-1
Argentina v England,13,39,5,45,5,-1
Argentina v Hungary,8,6,4,14,3,-1
Argentina v Italy,10,49,5,49,5,-1
Argentina v Netherlands,11,77,8,76,5,-1
Argentina v Nigeria,13,38,0,67,5,-1
Argentina v West Germany,10,22,2,12,4,-1
Australia v Croatia,4,11,3,6,1,-1
Austria v Italy,6,24,0,52,4,-1
Austria v West Germany,13,7,0,7,3,-1
Belgium v Mexico,8,17,4,22,3,-1
Belgium v South Korea,5,14,1,24,3,-1
Brazil v Chile,16,64,0,68,4,-1
Brazil v Czechoslovakia,14,5,15,15,5,-1
Brazil v England,8,5,1,13,4,-1
Brazil v France,13,52,4,60,4,-1
Brazil v Hungary,10,0,2,0,2,-1
Brazil v Italy,16,31,0,33,5,-1
Brazil v Mexico,13,50,0,60,5,-1
Brazil v Netherlands,15,61,6,52,5,-1
Brazil v Poland,20,28,0,40,4,-1
Brazil v Spain,15,7,0,18,5,-1
Brazil v Sweden,29,51,1,62,7,-1
Brazil v Turkey,4,18,4,24,2,-1
Bulgaria v Mexico,4,26,4,10,2,-1
Cameroon v Germany,2,18,2,6,1,-1
Chile v Italy,8,10,2,12,3,-1
Chile v Spain,7,11,1,17,3,-1
Chile v West Germany,8,15,3,21,3,-1
Croatia v Japan,1,20,0,24,2,-1
Croatia v Mexico,5,6,4,22,2,-1
Denmark v South Africa,2,7,3,6,1,-1
France v Italy,11,75,5,90,5,-1
France v Uruguay,5,41,4,42,4,-1
France v West Germany,17,7,0,10,3,-1
Germany v Sweden,8,33,6,36,3,-1
Germany v Switzerland,8,0,2,0,2,-1
Hungary v West Germany,16,0,0,0,2,-1
Italy v Norway,5,27,3,33,3,-1
Italy v South Korea,8,32,2,18,2,-1
Italy v United States,11,21,9,24,3,-1
Italy v West Germany,11,33,0,33,4,-1
Mexico v West Germany,6,24,4,12,2,-1
Netherlands v Portugal,1,20,4,6,1,-1
Netherlands v Spain,7,19,1,12,2,-1
Netherlands v West Germany,10,19,4,9,3,-1
North Korea v Portugal,15,8,0,12,2,-1
South Korea v Spain,8,17,2,24,3,-1
Spain v Switzerland,7,36,0,30,3,-1
Sweden v West Germany,10,1,1,3,2,-1
Uruguay v West Germany,7,10,4,12,3,-1
Uruguay v Yugoslavia,11,0,2,0,2,-1
