match_name,total_teams_score,yellow_card,red_card,substitutions,n_same_squad_match,0
Algeria v Austria,2,1,0,4,1,0
Algeria v Belgium,3,2,0,6,1,0
Algeria v Brazil,1,0,0,4,1,0
Algeria v Chile,5,1,0,4,1,0
Algeria v England,0,2,0,6,1,0
Algeria v Germany,3,2,0,6,1,0
Algeria v Northern Ireland,2,4,0,4,1,0
Algeria v Russia,2,4,0,6,1,0
Algeria v South Korea,6,3,0,6,1,0
Algeria v Spain,3,2,0,4,1,0
Algeria v West Germany,3,2,0,3,1,0
Angola v Iran,2,6,0,6,1,0
Angola v Portugal,1,5,0,6,1,0
Argentina v Belgium,4,21,0,27,3,0
Argentina v Bosnia and Herzegovina,3,2,0,6,1,0
Argentina v Chile,4,0,0,0,1,0
Argentina v Croatia,4,28,0,22,2,0
Argentina v Czechoslovakia,7,0,0,0,1,0
Argentina v East Germany,2,2,0,2,1,0
Argentina v El Salvador,2,5,0,4,1,0
Argentina v France,11,10,0,12,3,0
Argentina v Germany,7,25,0,29,3,0
Argentina v Greece,6,5,0,10,2,0
Argentina v Haiti,5,3,0,4,1,0
Argentina v Iceland,2,0,0,6,1,0
Argentina v Iran,1,2,0,6,1,0
Argentina v Ivory Coast,3,5,0,6,1,0
Argentina v Japan,1,3,0,4,1,0
Argentina v Northern Ireland,4,0,0,0,1,0
Argentina v Peru,6,0,0,3,1,0
Argentina v Poland,7,4,0,7,2,0
Argentina v Romania,7,12,0,7,2,0
Argentina v South Korea,9,14,0,18,2,0
Argentina v Spain,3,0,0,0,1,0
Argentina v Sweden,7,10,0,12,2,0
Argentina v Switzerland,3,10,0,12,2,0
Argentina v United States,7,0,0,0,1,0
Argentina v Uruguay,7,7,0,3,2,0
Australia v Brazil,2,5,0,6,1,0
Australia v Denmark,2,2,0,5,1,0
Australia v East Germany,2,3,0,1,1,0
Australia v France,3,4,0,6,1,0
Australia v Japan,4,7,0,6,1,0
Australia v Netherlands,5,2,0,6,1,0
Australia v Peru,2,6,0,6,1,0
Australia v Serbia,3,5,0,6,1,0
Australia v Spain,3,3,0,6,1,0
Australia v West Germany,3,0,0,4,1,0
Austria v Brazil,4,0,0,8,2,0
Austria v Cameroon,2,2,0,6,1,0
Austria v Chile,3,16,0,18,2,0
Austria v Czechoslovakia,6,10,0,8,2,0
Austria v England,4,0,0,0,1,0
Austria v France,6,2,0,8,2,0
Austria v Germany,5,0,0,0,1,0
Austria v Hungary,3,0,0,0,1,0
Austria v Netherlands,6,0,0,2,1,0
Austria v Northern Ireland,4,1,0,3,1,0
Austria v Scotland,1,0,0,0,1,0
Austria v Soviet Union,2,0,0,0,1,0
Austria v Spain,3,0,0,4,1,0
Austria v Sweden,1,0,0,3,1,0
Austria v Switzerland,12,0,0,0,1,0
Austria v Uruguay,4,0,0,0,1,0
Belgium v Brazil,5,12,0,18,2,0
Belgium v El Salvador,4,4,0,12,2,0
Belgium v France,11,11,0,14,3,0
Belgium v Germany,12,6,0,8,2,0
Belgium v Hungary,2,2,0,4,1,0
Belgium v Italy,5,0,0,0,1,0
Belgium v Japan,9,6,0,9,2,0
Belgium v Morocco,1,5,0,5,1,0
Belgium v Panama,3,8,0,6,1,0
Belgium v Paraguay,5,4,0,4,2,0
Belgium v Poland,3,1,0,3,1,0
Belgium v Russia,6,16,0,24,2,0
Belgium v Saudi Arabia,1,4,0,4,1,0
Belgium v Soviet Union,13,3,0,16,3,0
Belgium v Spain,5,4,0,8,2,0
Belgium v Tunisia,9,6,0,12,2,0
Belgium v United States,6,2,0,6,2,0
Bolivia v Brazil,4,0,0,0,1,0
Bolivia v Spain,4,2,0,4,1,0
Bolivia v Uruguay,8,0,0,0,1,0
Bolivia v Yugoslavia,4,0,0,0,1,0
Bosnia and Herzegovina v Iran,4,2,0,6,1,0
Bosnia and Herzegovina v Nigeria,1,2,0,5,1,0
Brazil v Bulgaria,2,0,0,0,1,0
Brazil v China,4,2,0,6,1,0
Brazil v Colombia,3,4,0,6,1,0
Brazil v Croatia,5,16,0,16,2,0
Brazil v Denmark,5,6,0,6,1,0
Brazil v East Germany,1,5,0,2,1,0
Brazil v Germany,10,3,0,11,2,0
Brazil v Japan,5,2,0,6,1,0
Brazil v Morocco,3,4,0,6,1,0
Brazil v New Zealand,4,0,0,4,1,0
Brazil v North Korea,3,1,0,4,1,0
Brazil v Northern Ireland,3,1,0,4,1,0
Brazil v Norway,3,2,0,3,1,0
Brazil v Peru,9,0,0,16,2,0
Brazil v Portugal,4,14,0,12,2,0
Brazil v Romania,5,2,0,4,1,0
Brazil v Russia,2,3,0,4,1,0
Brazil v Serbia,2,3,0,6,1,0
Brazil v Soviet Union,5,0,0,6,2,0
Brazil v Switzerland,6,8,0,12,2,0
Brazil v Uruguay,7,4,0,1,2,0
Brazil v Wales,1,0,0,0,1,0
Brazil v Yugoslavia,7,6,0,0,4,0
Brazil v Zaire,3,2,0,4,1,0
Bulgaria v England,0,0,0,0,1,0
Bulgaria v Germany,3,8,0,4,1,0
Bulgaria v Greece,4,8,0,4,1,0
Bulgaria v Hungary,11,0,0,0,2,0
Bulgaria v Italy,5,16,0,14,2,0
Bulgaria v Morocco,2,0,0,4,1,0
Bulgaria v Netherlands,5,5,0,4,1,0
Bulgaria v Nigeria,4,16,0,20,2,0
Bulgaria v Peru,5,0,0,4,1,0
Bulgaria v Portugal,3,0,0,0,1,0
Bulgaria v South Korea,2,3,0,4,1,0
Bulgaria v Spain,7,4,0,6,1,0
Bulgaria v Sweden,4,4,0,14,2,0
Bulgaria v Uruguay,2,2,0,3,1,0
Bulgaria v West Germany,7,0,0,4,1,0
Cameroon v Colombia,3,6,0,4,1,0
Cameroon v Denmark,3,4,0,6,1,0
Cameroon v England,5,4,0,4,1,0
Cameroon v Japan,1,2,0,6,1,0
Cameroon v Mexico,1,2,0,5,1,0
Cameroon v Netherlands,3,5,0,6,1,0
Cameroon v Peru,0,1,0,4,1,0
Cameroon v Poland,0,3,0,3,1,0
Cameroon v Republic of Ireland,2,4,0,3,1,0
Cameroon v Romania,3,3,0,4,1,0
Cameroon v Russia,7,5,0,4,1,0
Cameroon v Saudi Arabia,1,2,0,6,1,0
Cameroon v Soviet Union,4,3,0,4,1,0
Cameroon v Sweden,4,2,0,4,1,0
Canada v France,1,0,0,3,1,0
Canada v Soviet Union,2,0,0,4,1,0
Chile v East Germany,2,3,0,4,1,0
Chile v England,2,0,0,0,1,0
Chile v France,1,0,0,0,1,0
Chile v Honduras,1,3,0,6,1,0
Chile v Mexico,3,0,0,0,1,0
Chile v Netherlands,2,2,0,6,1,0
Chile v North Korea,2,0,0,0,1,0
Chile v Soviet Union,6,0,0,0,2,0
Chile v United States,7,0,0,0,1,0
Chile v Yugoslavia,1,0,0,0,1,0
China v Costa Rica,2,7,0,6,1,0
Colombia v England,4,26,0,28,2,0
Colombia v Greece,3,3,0,6,1,0
