manager_id,family_name,given_name,country_name,n_appearances,n_wc,goals_difference,win_rate,lose_rate,draw_rate,n_wc_wins_rate,Segm K-means PCA,Segment
M-009,Andersson,Janne,Sweden,5,1,2,0.6,0.4,0.0,0.0,0,0
M-011,Antić,Radomir,Serbia,3,1,-1,0.3333333333333333,0.6666666666666666,0.0,0.0,0,0
M-019,Barreau,Gaston,France,2,1,0,0.5,0.5,0.0,0.0,0,0
M-020,Basile,Alfio,Argentina,4,1,2,0.5,0.5,0.0,0.0,0,0
M-042,Brückner,Karel,Czech Republic,3,1,-1,0.3333333333333333,0.6666666666666666,0.0,0.0,0,0
M-043,Buccicardi,Alberto,Chile,3,1,-1,0.3333333333333333,0.6666666666666666,0.0,0.0,0,0
M-054,Caudron,Raoul,France,3,1,1,0.3333333333333333,0.6666666666666666,0.0,0.0,0,0
M-061,Corazzo,Juan Carlos,Uruguay,3,1,-2,0.3333333333333333,0.6666666666666666,0.0,0.0,0,0
M-065,Czeizler,Lajos,Hungary,3,1,-1,0.3333333333333333,0.6666666666666666,0.0,0.0,0,0
M-067,de Carvalho Rodrigues,Píndaro,Brazil,2,1,3,0.5,0.5,0.0,0.0,0,0
M-073,Didi,not applicable,Brazil,4,1,0,0.5,0.5,0.0,0.0,0,0
M-077,Dujković,Ratomir,Serbia,4,1,-2,0.5,0.5,0.0,0.0,0,0
M-079,Durand Laguna,José,Argentina,2,1,-2,0.5,0.5,0.0,0.0,0,0
M-081,Engel,Jerzy,Poland,3,1,-4,0.3333333333333333,0.6666666666666666,0.0,0.0,0,0
M-084,Fabbri,Edmondo,Italy,3,1,0,0.3333333333333333,0.6666666666666666,0.0,0.0,0,0
M-094,Gareca,Ricardo,Argentina,3,1,0,0.3333333333333333,0.6666666666666666,0.0,0.0,0,0
M-098,Goethals,Raymond,Belgium,3,1,-1,0.3333333333333333,0.6666666666666666,0.0,0.0,0,0
M-116,Herrera,Helenio,Argentina,3,1,-1,0.3333333333333333,0.6666666666666666,0.0,0.0,0,0
