manager_id,n_appearances,n_wc,goals_difference,win_rate,lose_rate,draw_rate,n_wc_wins_rate,C-1,C-2,C-3,Segm K-means PCA,Segment
M-253,9,2,15,0.8888888888888888,0.0,0.1111111111111111,1.0,5.986327450845829,-1.7661283964346213,-1.4445560842046679,-1,
M-022,18,3,8,0.5,0.16666666666666666,0.3333333333333333,0.3333333333333333,4.453899793484868,2.178308884641155,-0.7897738778102329,-1,
M-024,14,2,11,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.5,4.332696901187874,0.3100470363030187,-0.5336972525893843,-1,
M-313,4,1,12,1.0,0.0,0.0,1.0,4.881940907366984,-3.487097667717719,-1.2685683307481856,-1,
M-297,21,3,13,0.6666666666666666,0.19047619047619047,0.14285714285714285,0.3333333333333333,5.4102278861612385,1.7113016878196055,-1.7149104139580036,-1,
M-296,25,4,30,0.64,0.16,0.2,0.25,7.516135008238913,2.453602993584789,-1.7604236167900185,-1,
M-263,10,2,8,0.7,0.2,0.1,0.5,3.7023201077737737,-0.5144855782486951,-1.1935200197745892,-1,
M-234,24,6,-4,0.4166666666666667,0.375,0.20833333333333334,0.16666666666666666,4.593141798161417,6.350322983143681,-2.998395619280688,-1,
M-204,6,1,9,0.8333333333333334,0.0,0.16666666666666666,1.0,4.628526770728351,-2.549761965504721,-0.7163898081892717,-1,
M-192,12,2,12,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.5,3.8383934881722985,-0.24186854698373436,-1.4901891660516373,-1,
M-174,17,3,23,0.7058823529411765,0.23529411764705882,0.058823529411764705,0.3333333333333333,5.724917493584075,0.564044686394423,-1.7972643213173938,-1,
M-170,9,2,17,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.5,4.223452392934562,-0.9880928041774145,-1.024173071717963,-1,
M-166,10,2,9,0.5,0.1,0.4,0.5,3.677909843847106,0.21832478150111195,0.18465177056071125,-1,
M-130,7,1,13,0.8571428571428571,0.0,0.14285714285714285,1.0,5.10464284397592,-2.704492513004604,-0.8251839514271005,-1,
M-114,18,4,9,0.5,0.2777777777777778,0.2222222222222222,0.25,4.567830992420939,2.96777914477363,-1.6672695292527286,-1,
M-086,9,2,10,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.5,3.6564225834592796,-0.6469039861694441,-1.099871995281626,-1,
M-072,12,2,15,0.75,0.08333333333333333,0.16666666666666666,0.5,4.796623769918657,-0.6451024252010074,-0.8042663231077963,-1,
M-070,10,2,3,0.7,0.3,0.0,0.5,3.109087194020128,-0.3890641548165813,-1.7854742282015814,-1,
M-030,14,2,10,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.5,4.251692642691405,0.35878829601844314,-0.5445113845270504,-1,
M-356,20,3,18,0.65,0.2,0.15,0.3333333333333333,5.655711871059424,1.3924075736649466,-1.58964016326792,-1,
M-001,4,1,-3,0.0,0.25,0.75,0.0,-0.6325512554565921,1.0674634428390053,2.7167086145652224,-1,
M-003,8,2,1,0.5,0.375,0.125,0.0,1.0976224685867546,0.44599215698591005,-0.6020199136629442,-1,
M-004,8,2,-1,0.375,0.375,0.25,0.0,0.7520976117847927,0.9580163916168984,-0.10522685900141847,-1,
M-005,3,1,-1,0.0,0.3333333333333333,0.6666666666666666,0.0,-0.744529302154475,0.7522153760540475,2.3434043409969525,-1,
M-008,6,2,-4,0.0,0.5,0.5,0.0,-0.5110158016502852,1.961619586299126,0.8518477712167292,-1,
M-014,8,2,-4,0.25,0.5,0.25,0.0,0.09030396989723552,1.3709257920320514,-0.29160237220088536,-1,
M-018,15,4,3,0.3333333333333333,0.5333333333333333,0.13333333333333333,0.0,2.4145089676777007,3.3537861362565584,-1.919399115885543,-1,
M-025,7,2,-5,0.0,0.42857142857142855,0.5714285714285714,0.0,-0.3404396418453738,2.214044860613301,1.1719324209204431,-1,
