manager_id,n_appearances,n_wc,goals_difference,win_rate,lose_rate,draw_rate,n_wc_wins_rate,C-1,C-2,C-3,Segm K-means PCA,Segment
M-002,3,1,-10,0.0,1.0,0.0,0.0,-2.72831177043137,0.4023208791928142,-1.3398131713664516,0,0
M-006,3,1,-12,0.0,1.0,0.0,0.0,-2.890320287424308,0.4998033986236628,-1.361441435241784,0,0
M-023,2,1,-8,0.0,1.0,0.0,0.0,-2.6834467994031685,0.18564354169536296,-1.2648811543191703,0,0
M-033,3,1,-3,0.0,1.0,0.0,0.0,-2.1612819609560874,0.06113206118484371,-1.2641142478027887,0,0
M-036,2,1,-7,0.0,1.0,0.0,0.0,-2.6024425409067,0.13690228197993864,-1.254067022381504,0,0
M-041,2,1,-3,0.0,1.0,0.0,0.0,-2.278425506920824,-0.058062756881758826,-1.2108104946308396,0,0
M-046,1,1,-2,0.0,1.0,0.0,0.0,-2.3145647943890917,-0.2259988346637857,-1.1466926095212242,0,0
M-053,3,1,-9,0.0,1.0,0.0,0.0,-2.647307511934901,0.35357961947738986,-1.3289990394287856,0,0
M-064,3,1,-4,0.0,1.0,0.0,0.0,-2.2422862194525566,0.10987332090026802,-1.274928379740455,0,0
M-069,3,1,-3,0.0,1.0,0.0,0.0,-2.1612819609560874,0.06113206118484371,-1.2641142478027887,0,0
M-089,3,1,-8,0.0,1.0,0.0,0.0,-2.566303253438432,0.30483835976196544,-1.3181849074911194,0,0
M-091,3,1,-8,0.0,1.0,0.0,0.0,-2.566303253438432,0.30483835976196544,-1.3181849074911194,0,0
M-092,3,1,-6,0.0,1.0,0.0,0.0,-2.404294736445494,0.20735584033111681,-1.2965566436157872,0,0
M-104,1,1,-6,0.0,1.0,0.0,0.0,-2.638581828374967,-0.031033795802088315,-1.1899491372718887,0,0
M-111,1,1,-1,0.0,1.0,0.0,0.0,-2.2335605358926225,-0.27474009437921004,-1.135878477583558,0,0
M-137,1,1,-1,0.0,1.0,0.0,0.0,-2.2335605358926225,-0.27474009437921004,-1.135878477583558,0,0
M-139,3,1,-5,0.0,1.0,0.0,0.0,-2.3232904779490253,0.1586145806156924,-1.285742511678121,0,0
M-144,3,1,-11,0.0,1.0,0.0,0.0,-2.8093160289278387,0.4510621389082385,-1.3506273033041178,0,0
M-146,2,1,-16,0.0,1.0,0.0,0.0,-3.33148086737492,0.5755736194187578,-1.3513942098204994,0,0
M-147,1,1,-1,0.0,1.0,0.0,0.0,-2.2335605358926225,-0.27474009437921004,-1.135878477583558,0,0
M-161,3,1,-3,0.0,1.0,0.0,0.0,-2.1612819609560874,0.06113206118484371,-1.2641142478027887,0,0
M-163,3,1,-5,0.0,1.0,0.0,0.0,-2.3232904779490253,0.1586145806156924,-1.285742511678121,0,0
M-175,3,1,-9,0.0,1.0,0.0,0.0,-2.647307511934901,0.35357961947738986,-1.3289990394287856,0,0
M-180,3,1,-5,0.0,1.0,0.0,0.0,-2.3232904779490253,0.1586145806156924,-1.285742511678121,0,0
M-183,1,1,-6,0.0,1.0,0.0,0.0,-2.638581828374967,-0.031033795802088315,-1.1899491372718887,0,0
M-187,1,1,-2,0.0,1.0,0.0,0.0,-2.3145647943890917,-0.2259988346637857,-1.1466926095212242,0,0
M-219,3,1,-3,0.0,1.0,0.0,0.0,-2.1612819609560874,0.06113206118484371,-1.2641142478027887,0,0
M-232,3,1,-10,0.0,1.0,0.0,0.0,-2.72831177043137,0.4023208791928142,-1.3398131713664516,0,0
M-235,1,1,-1,0.0,1.0,0.0,0.0,-2.2335605358926225,-0.27474009437921004,-1.135878477583558,0,0
M-240,3,1,-8,0.0,1.0,0.0,0.0,-2.566303253438432,0.30483835976196544,-1.3181849074911194,0,0
M-244,3,1,-5,0.0,1.0,0.0,0.0,-2.3232904779490253,0.1586145806156924,-1.285742511678121,0,0
M-252,3,1,-6,0.0,1.0,0.0,0.0,-2.404294736445494,0.20735584033111681,-1.2965566436157872,0,0
M-255,1,1,-8,0.0,1.0,0.0,0.0,-2.800590345367905,0.06644872362876036,-1.2115774011472211,0,0
M-272,3,1,-10,0.0,1.0,0.0,0.0,-2.72831177043137,0.4023208791928142,-1.3398131713664516,0,0
M-273,3,1,-12,0.0,1.0,0.0,0.0,-2.890320287424308,0.4998033986236628,-1.361441435241784,0,0
M-284,3,1,-4,0.0,1.0,0.0,0.0,-2.2422862194525566,0.10987332090026802,-1.274928379740455,0,0
M-287,3,1,-5,0.0,1.0,0.0,0.0,-2.3232904779490253,0.1586145806156924,-1.285742511678121,0,0
M-290,2,1,-8,0.0,1.0,0.0,0.0,-2.6834467994031685,0.18564354169536296,-1.2648811543191703,0,0
M-319,3,1,-12,0.0,1.0,0.0,0.0,-2.890320287424308,0.4998033986236628,-1.361441435241784,0,0
M-329,1,1,-1,0.0,1.0,0.0,0.0,-2.2335605358926225,-0.27474009437921004,-1.135878477583558,0,0
M-337,3,1,-8,0.0,1.0,0.0,0.0,-2.566303253438432,0.30483835976196544,-1.3181849074911194,0,0
M-343,1,1,-2,0.0,1.0,0.0,0.0,-2.3145647943890917,-0.2259988346637857,-1.1466926095212242,0,0
M-348,3,1,-5,0.0,1.0,0.0,0.0,-2.3232904779490253,0.1586145806156924,-1.285742511678121,0,0
