player_id,family_name,given_name,total_games_played,n_minutes_played,n_tournaments,n_tournaments_played,total_final_match_played,n_wc_wins,total_goals,total_penalty_scored,Segm K-means PCA,Segment
P-01993,Matthäus,Lothar,25,2054,5,5,2,1,6,2,6,6
P-05286,van Persie,Robin,17,1484,3,3,1,0,6,1,6,6
P-03582,Zidane,Zinedine,12,1111,3,3,2,1,5,2,6,6
P-03015,Ronaldo,Cristiano,17,1474,4,4,0,0,7,2,6,6
P-06855,Stoichkov,Hristo,10,869,2,2,0,0,6,3,6,6
P-00904,Müller,Thomas,16,1363,3,3,1,1,10,1,6,6
P-08920,Jedinak,Mile,7,557,3,3,0,0,3,3,6,6
P-00729,Blanco,Cuauhtémoc,11,823,3,3,0,0,3,2,6,6
P-07680,Gyan,Asamoah,11,1027,3,3,0,0,6,2,6,6
P-07695,Neeskens,Johan,12,992,2,2,2,0,5,3,6,6
P-00705,Passarella,Daniel,12,1110,3,2,1,2,3,2,6,6
P-06162,Al-Jaber,Sami,9,615,4,4,0,0,3,2,6,6
P-05392,Batistuta,Gabriel,12,987,3,3,0,0,10,4,6,6
P-04601,Ronaldo,not applicable,19,1625,4,3,2,2,15,1,6,6
P-01968,Hierro,Fernando,12,1018,4,3,0,0,5,3,6,6
P-02483,Müller,Gerd,13,1230,2,2,1,1,14,1,6,6
P-05239,Klose,Miroslav,24,1792,4,4,2,1,16,0,6,6
P-09078,Baggio,Roberto,16,1208,3,3,1,0,9,2,6,6
P-07325,Rensenbrink,Rob,13,1133,2,2,2,0,6,4,6,6
P-00008,Rivaldo,not applicable,14,1266,2,2,2,1,8,1,6,6
P-08448,Kane,Harry,6,573,1,1,0,0,6,3,6,6
P-02777,Lineker,Gary,12,1159,2,2,0,0,10,2,6,6
P-05420,Walter,Fritz,11,990,2,2,1,1,3,2,6,6
P-01348,Cubillas,Teófilo,13,1097,3,3,0,0,10,2,6,6
P-06140,Griezmann,Antoine,12,868,2,2,1,1,4,3,6,6
P-04291,Villa,David,12,902,3,3,1,1,9,2,6,6
P-01633,Eusébio,not applicable,6,540,1,1,0,0,9,4,6,6
