tournament_id,year,team_name,goals,goal_subiti,stage_name,stage_number,cards
WC-1930,1930,Argentina,18,9,final,7,0
WC-1930,1930,Belgium,0,4,group stage,0,0
WC-1930,1930,Bolivia,0,8,group stage,0,0
WC-1930,1930,Brazil,5,2,group stage,0,0
WC-1930,1930,Chile,5,3,group stage,0,0
WC-1930,1930,France,4,3,group stage,0,0
WC-1930,1930,Mexico,4,13,group stage,0,0
WC-1930,1930,Paraguay,1,3,group stage,0,0
WC-1930,1930,Peru,1,4,group stage,0,1
WC-1930,1930,Romania,3,5,group stage,0,0
WC-1930,1930,United States,7,6,semi-finals,4,0
WC-1930,1930,Uruguay,15,3,champion,8,0
WC-1930,1930,Yugoslavia,7,7,semi-finals,4,0
WC-1934,1934,Argentina,2,3,round of 16,2,0
WC-1934,1934,Austria,7,7,third-place match,5,0
WC-1934,1934,Belgium,2,5,round of 16,2,0
WC-1934,1934,Brazil,1,3,round of 16,2,0
WC-1934,1934,Czechoslovakia,9,6,final,7,0
WC-1934,1934,Egypt,2,4,round of 16,2,0
WC-1934,1934,France,2,3,round of 16,2,0
WC-1934,1934,Germany,11,8,third-place match,5,0
WC-1934,1934,Hungary,5,4,quarter-finals,3,1
WC-1934,1934,Italy,12,3,champion,8,0
WC-1934,1934,Netherlands,2,3,round of 16,2,0
WC-1934,1934,Romania,1,2,round of 16,2,0
WC-1934,1934,Spain,4,3,quarter-finals,3,0
WC-1934,1934,Sweden,4,4,quarter-finals,3,0
WC-1934,1934,Switzerland,5,5,quarter-finals,3,0
WC-1934,1934,United States,1,7,round of 16,2,0
WC-1938,1938,Belgium,1,3,round of 16,2,0
WC-1938,1938,Brazil,14,11,third-place match,5,2
WC-1938,1938,Cuba,5,12,quarter-finals,3,0
WC-1938,1938,Czechoslovakia,5,3,quarter-finals,3,1
WC-1938,1938,Dutch East Indies,0,6,round of 16,2,0
WC-1938,1938,France,4,4,quarter-finals,3,0
WC-1938,1938,Germany,3,5,round of 16,2,1
WC-1938,1938,Hungary,15,5,final,7,0
WC-1938,1938,Italy,11,5,champion,8,0
WC-1938,1938,Netherlands,0,3,round of 16,2,0
WC-1938,1938,Norway,1,2,round of 16,2,0
WC-1938,1938,Poland,5,6,round of 16,2,0
WC-1938,1938,Romania,4,5,round of 16,2,0
WC-1938,1938,Sweden,11,9,third-place match,5,0
WC-1938,1938,Switzerland,5,5,quarter-finals,3,0
WC-1950,1950,Bolivia,0,8,group stage,0,0
WC-1950,1950,Brazil,22,6,final round,6,0
WC-1950,1950,Chile,5,6,group stage,0,0
WC-1950,1950,England,2,2,group stage,0,0
WC-1950,1950,Italy,4,3,group stage,0,0
WC-1950,1950,Mexico,2,10,group stage,0,0
WC-1950,1950,Paraguay,2,4,group stage,0,0
WC-1950,1950,Spain,10,12,final round,6,0
WC-1950,1950,Sweden,11,15,final round,6,0
WC-1950,1950,Switzerland,4,6,group stage,0,0
WC-1950,1950,United States,4,8,group stage,0,0
WC-1950,1950,Uruguay,15,5,champion,8,0
WC-1950,1950,Yugoslavia,7,3,group stage,0,0
WC-1954,1954,Austria,17,12,third-place match,5,0
WC-1954,1954,Belgium,5,8,group stage,0,0
WC-1954,1954,Brazil,8,5,quarter-finals,3,1
WC-1954,1954,Czechoslovakia,0,7,group stage,0,0
WC-1954,1954,England,8,8,quarter-finals,3,0
WC-1954,1954,France,3,3,group stage,0,0
WC-1954,1954,Hungary,27,10,final,7,0
WC-1954,1954,Italy,6,7,group stage,0,0
WC-1954,1954,Mexico,2,8,group stage,0,0
WC-1954,1954,Scotland,0,8,group stage,0,0
WC-1954,1954,South Korea,0,16,group stage,0,0
WC-1954,1954,Switzerland,11,11,quarter-finals,3,0
WC-1954,1954,Turkey,10,11,group stage,0,0
WC-1954,1954,Uruguay,16,9,third-place match,5,0
WC-1954,1954,West Germany,25,14,champion,8,0
WC-1954,1954,Yugoslavia,2,3,quarter-finals,3,0
WC-1958,1958,Argentina,5,10,group stage,0,0
WC-1958,1958,Austria,2,7,group stage,0,0
WC-1958,1958,Brazil,16,4,champion,8,0
