key_id,tournament_id,tournament_name,match_id,match_name,match_date,stage_name,group_name,team_id,team_name,team_code,home_team,away_team,player_id,family_name,given_name,shirt_number,position_name,position_code,starter,substitute,captain,red_card,yellow_card
18624,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1930-07-13,group stage,Group 1,T-28,France,FRA,1,0,P-06949,Villaplane,Alexandre,,midfielder,MF,1,0,1,0,0
18625,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1930-07-13,group stage,Group 1,T-28,France,FRA,1,0,P-07977,Thépot,Alex,,goal keeper,GK,1,0,0,0,0
18626,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1930-07-13,group stage,Group 1,T-28,France,FRA,1,0,P-05869,Capelle,Marcel,,defender,DF,1,0,0,0,0
18627,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1930-07-13,group stage,Group 1,T-28,France,FRA,1,0,P-09767,Mattler,Étienne,,defender,DF,1,0,0,0,0
18628,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1930-07-13,group stage,Group 1,T-28,France,FRA,1,0,P-08263,Chantrel,Augustin,,midfielder,MF,1,0,0,0,0
18629,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1930-07-13,group stage,Group 1,T-28,France,FRA,1,0,P-06259,Pinel,Marcel,,forward,FW,1,0,0,0,0
18630,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1930-07-13,group stage,Group 1,T-28,France,FRA,1,0,P-02254,Delfour,Edmond,,forward,FW,1,0,0,0,0
18631,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1930-07-13,group stage,Group 1,T-28,France,FRA,1,0,P-05670,Langiller,Marcel,,forward,FW,1,0,0,0,0
18632,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1930-07-13,group stage,Group 1,T-28,France,FRA,1,0,P-09831,Laurent,Lucien,,forward,FW,1,0,0,0,0
18633,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1930-07-13,group stage,Group 1,T-28,France,FRA,1,0,P-06423,Libérati,Ernest,,forward,FW,1,0,0,0,0
18634,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1930-07-13,group stage,Group 1,T-28,France,FRA,1,0,P-07295,Maschinot,André,,forward,FW,1,0,0,0,0
18635,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1930-07-13,group stage,Group 1,T-44,Mexico,MEX,0,1,P-07181,Garza Gutiérrez,Rafael,,defender,DF,1,0,1,0,0
18636,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1930-07-13,group stage,Group 1,T-44,Mexico,MEX,0,1,P-08760,Bonfiglio,Oscar,,goal keeper,GK,1,0,0,0,0
18637,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1930-07-13,group stage,Group 1,T-44,Mexico,MEX,0,1,P-04652,Rosas,Manuel,,defender,DF,1,0,0,0,0
18638,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1930-07-13,group stage,Group 1,T-44,Mexico,MEX,0,1,P-04448,Amézcua,Efraín,,midfielder,MF,1,0,0,0,0
18639,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1930-07-13,group stage,Group 1,T-44,Mexico,MEX,0,1,P-06663,Rosas,Felipe,,midfielder,MF,1,0,0,0,0
18640,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1930-07-13,group stage,Group 1,T-44,Mexico,MEX,0,1,P-02138,Sánchez,Alfredo Viejo,,midfielder,MF,1,0,0,0,0
18641,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1930-07-13,group stage,Group 1,T-44,Mexico,MEX,0,1,P-03952,Carreño,Juan,,forward,FW,1,0,0,0,0
18642,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1930-07-13,group stage,Group 1,T-44,Mexico,MEX,0,1,P-07242,López,Hilario,,forward,FW,1,0,0,0,0
18643,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1930-07-13,group stage,Group 1,T-44,Mexico,MEX,0,1,P-03933,Mejía,Dionisio,,forward,FW,1,0,0,0,0
18644,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1930-07-13,group stage,Group 1,T-44,Mexico,MEX,0,1,P-08940,Ruíz,José,,forward,FW,1,0,0,0,0
18645,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,1930-07-13,group stage,Group 1,T-44,Mexico,MEX,0,1,P-02224,Pérez,Luis,,forward,FW,1,0,0,0,0
18646,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,1930-07-13,group stage,Group 4,T-79,United States,USA,1,0,P-06672,Florie,Tom,,forward,FW,1,0,1,0,0
18647,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,1930-07-13,group stage,Group 4,T-79,United States,USA,1,0,P-02140,Douglas,Jimmy,,goal keeper,GK,1,0,0,0,0
18648,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,1930-07-13,group stage,Group 4,T-79,United States,USA,1,0,P-03968,Moorhouse,George,,defender,DF,1,0,0,0,0
18649,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,1930-07-13,group stage,Group 4,T-79,United States,USA,1,0,P-05204,Tracey,Raphael,,forward,FW,1,0,0,0,0
18650,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,1930-07-13,group stage,Group 4,T-79,United States,USA,1,0,P-03207,Wood,Alexander,,defender,DF,1,0,0,0,0
18651,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,1930-07-13,group stage,Group 4,T-79,United States,USA,1,0,P-09481,Gallagher,Jimmy,,midfielder,MF,1,0,0,0,0
18652,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,1930-07-13,group stage,Group 4,T-79,United States,USA,1,0,P-03079,Auld,Andy,,midfielder,MF,1,0,0,0,0
18653,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,1930-07-13,group stage,Group 4,T-79,United States,USA,1,0,P-05896,Brown,Jim,,forward,FW,1,0,0,0,0
18654,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,1930-07-13,group stage,Group 4,T-79,United States,USA,1,0,P-09215,Patenaude,Bert,,forward,FW,1,0,0,0,0
18655,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,1930-07-13,group stage,Group 4,T-79,United States,USA,1,0,P-03512,Gonsalves,Billy,,forward,FW,1,0,0,0,0
18656,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,1930-07-13,group stage,Group 4,T-79,United States,USA,1,0,P-09935,McGhee,Bart,,forward,FW,1,0,0,0,0
18657,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,1930-07-13,group stage,Group 4,T-06,Belgium,BEL,0,1,P-07947,Braine,Pierre,,midfielder,MF,1,0,1,0,0
18658,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,1930-07-13,group stage,Group 4,T-06,Belgium,BEL,0,1,P-04809,Badjou,Arnold,,goal keeper,GK,1,0,0,0,0
18659,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,1930-07-13,group stage,Group 4,T-06,Belgium,BEL,0,1,P-02975,Hoydonckx,Nic,,defender,DF,1,0,0,0,0
18660,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,1930-07-13,group stage,Group 4,T-06,Belgium,BEL,0,1,P-06342,Nouwens,Theodore,,defender,DF,1,0,0,0,0
18661,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,1930-07-13,group stage,Group 4,T-06,Belgium,BEL,0,1,P-00045,De Clercq,Jean,,midfielder,MF,1,0,0,0,0
18662,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,1930-07-13,group stage,Group 4,T-06,Belgium,BEL,0,1,P-07686,Diddens,Jan,,forward,FW,1,0,0,0,0
18663,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,1930-07-13,group stage,Group 4,T-06,Belgium,BEL,0,1,P-07499,Hellemans,August,,midfielder,MF,1,0,0,0,0
18664,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,1930-07-13,group stage,Group 4,T-06,Belgium,BEL,0,1,P-08988,Adams,Ferdinand,,forward,FW,1,0,0,0,0
18665,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,1930-07-13,group stage,Group 4,T-06,Belgium,BEL,0,1,P-03374,Moeschal,Jacques,,forward,FW,1,0,0,0,0
18666,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,1930-07-13,group stage,Group 4,T-06,Belgium,BEL,0,1,P-04609,Versyp,Louis,,forward,FW,1,0,0,0,0
18667,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,1930-07-13,group stage,Group 4,T-06,Belgium,BEL,0,1,P-00804,Voorhoof,Bernard,,forward,FW,1,0,0,0,0
18668,WC-1930,1930 FIFA World Cup,M-1930-03,Yugoslavia v Brazil,1930-07-14,group stage,Group 2,T-83,Yugoslavia,YUG,1,0,P-07824,Ivković,Milutin,,defender,DF,1,0,1,0,0
18669,WC-1930,1930 FIFA World Cup,M-1930-03,Yugoslavia v Brazil,1930-07-14,group stage,Group 2,T-83,Yugoslavia,YUG,1,0,P-07940,Jakšić,Milovan,,goal keeper,GK,1,0,0,0,0
18670,WC-1930,1930 FIFA World Cup,M-1930-03,Yugoslavia v Brazil,1930-07-14,group stage,Group 2,T-83,Yugoslavia,YUG,1,0,P-05511,Mihajlović,Dragoslav,,defender,DF,1,0,0,0,0
18671,WC-1930,1930 FIFA World Cup,M-1930-03,Yugoslavia v Brazil,1930-07-14,group stage,Group 2,T-83,Yugoslavia,YUG,1,0,P-00928,Stefanović,Ljubiša,,defender,DF,1,0,0,0,0
18672,WC-1930,1930 FIFA World Cup,M-1930-03,Yugoslavia v Brazil,1930-07-14,group stage,Group 2,T-83,Yugoslavia,YUG,1,0,P-02220,Arsenijević,Milorad,,midfielder,MF,1,0,0,0,0
18673,WC-1930,1930 FIFA World Cup,M-1930-03,Yugoslavia v Brazil,1930-07-14,group stage,Group 2,T-83,Yugoslavia,YUG,1,0,P-02466,Đokić,Momčilo,,midfielder,MF,1,0,0,0,0
18674,WC-1930,1930 FIFA World Cup,M-1930-03,Yugoslavia v Brazil,1930-07-14,group stage,Group 2,T-83,Yugoslavia,YUG,1,0,P-06435,Bek,Ivan,,forward,FW,1,0,0,0,0
18675,WC-1930,1930 FIFA World Cup,M-1930-03,Yugoslavia v Brazil,1930-07-14,group stage,Group 2,T-83,Yugoslavia,YUG,1,0,P-00296,Marjanović,Blagoje,,forward,FW,1,0,0,0,0
18676,WC-1930,1930 FIFA World Cup,M-1930-03,Yugoslavia v Brazil,1930-07-14,group stage,Group 2,T-83,Yugoslavia,YUG,1,0,P-03989,Vujadinović,Đorđe,,forward,FW,1,0,0,0,0
