player_id;family_name;given_name;shirt_number;position_name;position_code
P-08988;Adams;Ferdinand;;forward;FW
P-00815;Aguilera;Juan;;forward;FW
P-00053;Aguirre;Francisco;;midfielder;MF
P-05855;Alborta;Mario;;forward;FW
P-04448;Amézcua;Efraín;;midfielder;MF
P-08276;Andoire;Numa;;defender;DF
P-01536;Andrade;José Leandro;;midfielder;MF
P-08997;Anselmo;Peregrino;;forward;FW
P-01450;Araken;not applicable;;forward;FW
P-09068;Arellano;Guillermo;;forward;FW
P-08381;Argote;Juan;;midfielder;MF
P-02220;Arsenijevi?;Milorad;;midfielder;MF
P-08033;Astengo;Eduardo;;midfielder;MF
P-03079;Auld;Andy;;midfielder;MF
P-04809;Badjou;Arnold;;goal keeper;GK
P-01714;Ballesteros;Enrique;;goal keeper;GK
P-01121;Barbu;?tefan;;forward;FW
P-06435;Bek;Ivan;;forward;FW
P-03390;Benedicto;not applicable;;forward;FW
P-06873;Benítez;Pedro;;goal keeper;GK
P-02979;Benítez;Santiago;;midfielder;MF
P-07741;Benítez Cáceres;Delfín;;forward;FW
P-09265;Benvenuto;not applicable;;midfielder;MF
P-02442;Bermúdez;Jesús;;goal keeper;GK
P-08760;Bonfiglio;Oscar;;goal keeper;GK
P-06512;Bookie;Mike;;forward;FW
P-01578;Bossio;Ángel;;goal keeper;GK
P-02109;Botasso;Juan;;goal keeper;GK
P-07947;Braine;Pierre;;midfielder;MF
P-01970;Brilhante;not applicable;;defender;DF
P-05500;Brito;Miguel;;midfielder;MF
P-05896;Brown;Jim;;forward;FW
P-01959;Bürger;Rudolf;;defender;DF
P-00618;Bustamante;José;;forward;FW
P-03169;Calvo;Juan Carlos;;forward;FW
P-05869;Capelle;Marcel;;defender;DF
P-05825;Capuccini;Miguel;;goal keeper;GK
P-03952;Carreño;Juan;;forward;FW
P-01868;Carreras;Saguier;;forward;FW
P-00826;Castro;Héctor;;forward;FW
P-04682;Castro;Jesús;;forward;FW
P-00724;Cea;Pedro;;forward;FW
P-02697;Chamorro;Eustacio;;defender;DF
P-06745;Chantraine;Alexis;;midfielder;MF
P-08263;Chantrel;Augustin;;midfielder;MF
P-02300;Chaparro;Ernesto;;defender;DF
P-02076;Chavarría;Casiano;;defender;DF
P-06974;Cherro;Roberto;;forward;FW
P-07975;Chividini;Alberto;;defender;DF
P-09029;Cillóniz;Carlos;;midfielder;MF
P-07628;Coddou;Arturo;;midfielder;MF
P-08983;Cortés;Roberto;;goal keeper;GK
P-05925;Czako;Iosif;;defender;DF
P-03739;De Bie;Jean;;goal keeper;GK
P-00045;De Clercq;Jean;;midfielder;MF
P-07467;De Deken;Henri;;defender;DF
P-03249;de las Casas;Mario;;defender;DF
P-08242;Delbeke;Gérard;;midfielder;MF
P-02254;Delfour;Edmond;;forward;FW
P-06464;Della Torre;José;;defender;DF
P-09494;Delmer;Célestin;;midfielder;MF
P-07083;Demaría;Attilio;;forward;FW
P-09558;Denegri;Alberto;;midfielder;MF
P-05445;Denis;Modesto;;goal keeper;GK
P-00978;De?u;Adalbert;;forward;FW
P-01854;Díaz;Eusebio;;midfielder;MF
P-07686;Diddens;Jan;;forward;FW
P-06321;Doca;not applicable;;forward;FW
P-02466;?oki?;Mom?ilo;;midfielder;MF
P-09358;Domínguez;Diógenes;;forward;FW
P-00275;Dorado;Pablo;;forward;FW
P-02140;Douglas;Jimmy;;goal keeper;GK
P-05471;Durandal;Segundo;;defender;DF
P-05520;Eisenbeisser;Alfred;;midfielder;MF
P-08972;Elgueta;Humberto;;midfielder;MF
P-02706;Espinoza;César;;goal keeper;GK
P-09526;Etcheverry;Romildo;;midfielder;MF
P-00754;Evaristo;Juan;;midfielder;MF
P-06416;Evaristo;Mario;;forward;FW
P-04503;Fausto;not applicable;;defender;DF
P-09943;Fernández;Arturo;;defender;DF
P-04382;Fernández;Lorenzo;;midfielder;MF
P-01830;Fernández;René;;forward;FW
P-04545;Fernando;not applicable;;midfielder;MF
P-05678;Ferreira;Manuel;;forward;FW
P-04328;Florentín;Diego;;midfielder;MF
