player_id,family_name,given_name,shirt_number,position_name,position_code
P-05367,Abegglen,André,,forward,FW
P-00209,Albarracín,Ernesto,,midfielder,MF
P-01132,Albrecht,Ernst,,midfielder,MF
P-00959,Albu,Gheorghe,,defender,DF
P-05612,Alcazar,Joseph,,forward,FW
P-05439,Allemandi,Luigi,,defender,DF
P-09134,Almeida,not applicable,,forward,FW
P-06569,Amrhein,Tom,,midfielder,MF
P-05769,Anderiesen,Wim,,midfielder,MF
P-02904,Andersson,Ernst,,midfielder,MF
P-02072,Andersson,Otto,,defender,DF
P-03392,Andersson,Sven,,defender,DF
P-03976,Arcari,Pietro,,forward,FW
P-06277,Ariel,not applicable,,midfielder,MF
P-02526,Armandinho,not applicable,,forward,FW
P-01648,Aston,Alfred,,forward,FW
P-04994,Astudillo,Ramón,,defender,DF
P-05147,Áttila,not applicable,,forward,FW
P-05027,Avar,István,,forward,FW
P-06051,Axelsson,Nils,,defender,DF
P-04809,Badjou,Arnold,,goal keeper,GK
P-00965,Bakhati,Mohammed,,midfielder,MF
P-05268,Bakhuys,Beb,,forward,FW
P-01365,Baratky,Iuliu,,forward,FW
P-02828,Beaucourt,Georges,,midfielder,MF
P-09883,Belis,Ernesto,,defender,DF
P-09094,Bender,Jakob,,midfielder,MF
P-01232,Bertolini,Luigi,,midfielder,MF
P-03565,Bican,Josef,,forward,FW
P-05831,Bindea,Silviu,,forward,FW
P-07298,Bíró,Sándor,,defender,DF
P-02182,Bizzozero,Renato,,goal keeper,GK
P-08678,Bodola,Iuliu,,forward,FW
P-09437,Borel,Felice,,forward,FW
P-05092,Bosch,Crisant,,midfielder,MF
P-07376,Bossi,Joseph,,forward,FW
P-09575,Bouček,Jaroslav,,midfielder,MF
P-05271,Bourgeois,Désiré,,midfielder,MF
P-05651,Braun,Georg,,forward,FW
P-01892,Brichaut,Jean,,forward,FW
P-08296,Büche,Albert,,forward,FW
P-05582,Buchloh,Fritz,,goal keeper,GK
P-03910,Bühler,Otto,,forward,FW
P-08434,Bunke,Lennart,,forward,FW
P-01959,Bürger,Rudolf,,defender,DF
P-01925,Burgr,Jaroslav,,defender,DF
P-06388,Busch,Willy,,defender,DF
P-07763,Caligaris,Umberto,,defender,DF
P-09582,Čambal,Štefan,,midfielder,MF
P-08631,Canalli,not applicable,,midfielder,MF
P-01864,Capelle,Jean,,forward,FW
P-02318,Carlsson,Rune,,midfielder,MF
P-06304,Carlund,Victor,,midfielder,MF
P-05200,Castellazzi,Armando,,midfielder,MF
P-08794,Cavanna,Giuseppe,,goal keeper,GK
P-08789,Chacho,not applicable,,forward,FW
P-04354,Chimento,Enrique,,defender,DF
P-07417,Cilaurren,Leonardo,,midfielder,MF
P-06411,Ciolac,Gheorghe,,forward,FW
P-06752,Ciriaco,not applicable,,defender,DF
P-06924,Cisar,Franz,,defender,DF
P-02586,Claessens,Jean,,midfielder,MF
P-01889,Combi,Gianpiero,,goal keeper,GK
P-03649,Conen,Edmund,,forward,FW
P-01005,Courtois,Roger,,forward,FW
P-09547,Čtyřoký,Josef,,defender,DF
P-07798,Cuedan,Alexandru,,defender,DF
P-07677,Czerkiewicz,Ed,,defender,DF
P-02282,Daučík,Ferdinand,,defender,DF
