match_name,total_teams_score,yellow_card,red_card,substitutions,n_same_squad_match
Algeria v Austria,2,1,0,4,1
Algeria v Belgium,3,2,0,6,1
Algeria v Brazil,1,0,0,4,1
Algeria v Chile,5,1,0,4,1
Algeria v England,0,2,0,6,1
Algeria v Germany,3,2,0,6,1
Algeria v Northern Ireland,2,4,0,4,1
Algeria v Russia,2,4,0,6,1
Algeria v Slovenia,1,6,1,6,1
Algeria v South Korea,6,3,0,6,1
Algeria v Spain,3,2,0,4,1
Algeria v United States,1,7,1,6,1
Algeria v West Germany,3,2,0,3,1
Angola v Iran,2,6,0,6,1
Angola v Mexico,0,7,1,6,1
Angola v Portugal,1,5,0,6,1
Argentina v Belgium,4,21,0,27,3
Argentina v Bosnia and Herzegovina,3,2,0,6,1
Argentina v Brazil,8,17,4,33,4
Argentina v Bulgaria,5,33,3,24,3
Argentina v Cameroon,1,4,2,4,1
Argentina v Chile,4,0,0,0,1
Argentina v Croatia,4,28,0,22,2
Argentina v Czechoslovakia,7,0,0,0,1
Argentina v East Germany,2,2,0,2,1
Argentina v El Salvador,2,5,0,4,1
Argentina v England,13,39,5,45,5
Argentina v France,11,10,0,12,3
Argentina v Germany,7,25,0,29,3
Argentina v Greece,6,5,0,10,2
Argentina v Haiti,5,3,0,4,1
Argentina v Hungary,8,6,4,14,3
Argentina v Iceland,2,0,0,6,1
Argentina v Iran,1,2,0,6,1
Argentina v Italy,10,49,5,49,5
Argentina v Ivory Coast,3,5,0,6,1
Argentina v Jamaica,5,5,1,6,1
Argentina v Japan,1,3,0,4,1
Argentina v Mexico,16,21,0,33,3
Argentina v Netherlands,11,77,8,76,5
Argentina v Nigeria,13,38,0,67,5
Argentina v Northern Ireland,4,0,0,0,1
Argentina v Peru,6,0,0,3,1
Argentina v Poland,7,4,0,7,2
Argentina v Romania,7,12,0,7,2
Argentina v Serbia and Montenegro,6,4,1,6,1
Argentina v South Korea,9,14,0,18,2
Argentina v Soviet Union,2,5,1,4,1
Argentina v Spain,3,0,0,0,1
Argentina v Sweden,7,10,0,12,2
Argentina v Switzerland,3,10,0,12,2
Argentina v United States,7,0,0,0,1
Argentina v Uruguay,7,7,0,3,2
Argentina v West Germany,10,22,2,12,4
Argentina v Yugoslavia,0,7,1,3,1
Australia v Brazil,2,5,0,6,1
Australia v Chile,4,5,1,10,2
Australia v Croatia,4,11,3,6,1
Australia v Denmark,2,2,0,5,1
Australia v East Germany,2,3,0,1,1
Australia v France,3,4,0,6,1
Australia v Germany,4,5,1,6,1
Australia v Ghana,2,4,1,6,1
Australia v Italy,1,6,1,4,1
Australia v Japan,4,7,0,6,1
Australia v Netherlands,5,2,0,6,1
Australia v Peru,2,6,0,6,1
Australia v Serbia,3,5,0,6,1
Australia v Spain,3,3,0,6,1
Australia v West Germany,3,0,0,4,1
Austria v Brazil,4,0,0,8,2
Austria v Cameroon,2,2,0,6,1
Austria v Chile,3,16,0,18,2
Austria v Czechoslovakia,6,10,0,8,2
Austria v England,4,0,0,0,1
Austria v France,6,2,0,8,2
Austria v Germany,5,0,0,0,1
Austria v Hungary,3,0,0,0,1
Austria v Italy,6,24,0,52,4
Austria v Netherlands,6,0,0,2,1
Austria v Northern Ireland,4,1,0,3,1
Austria v Scotland,1,0,0,0,1
Austria v Soviet Union,2,0,0,0,1
Austria v Spain,3,0,0,4,1
Austria v Sweden,1,0,0,3,1
Austria v Switzerland,12,0,0,0,1
Austria v United States,3,9,1,4,1
