match_name,score,yellow_card,red_card,substitutions,squad_x_play_in_the_match
France v Mexico,3,6,0,5,0
France v Mexico,3,6,0,5,0
France v Mexico,3,6,0,5,0
France v Mexico,3,6,0,5,0
Belgium v United States,-3,0,0,0,0
Belgium v United States,-3,0,0,0,0
Brazil v Yugoslavia,-1,0,0,0,0
Brazil v Yugoslavia,-1,0,0,0,0
Brazil v Yugoslavia,-1,0,0,0,0
Brazil v Yugoslavia,-1,0,0,0,0
Peru v Romania,-2,0,1,0,0
Argentina v France,1,1,0,3,0
Argentina v France,1,1,0,3,0
Argentina v France,1,1,0,3,0
Chile v Mexico,3,0,0,0,0
Bolivia v Yugoslavia,-4,0,0,0,0
Paraguay v United States,-3,0,0,0,0
Peru v Uruguay,-1,0,0,0,0
Chile v France,1,0,0,0,0
Argentina v Mexico,3,7,0,11,0
Argentina v Mexico,3,7,0,11,0
Argentina v Mexico,3,7,0,11,0
Bolivia v Brazil,-4,0,0,0,0
Belgium v Paraguay,-1,2,0,2,0
Belgium v Paraguay,-1,2,0,2,0
Romania v Uruguay,-4,0,0,0,0
Argentina v Chile,2,0,0,0,0
Argentina v United States,5,0,0,0,0
Uruguay v Yugoslavia,5,0,0,0,0
Uruguay v Yugoslavia,5,0,0,0,0
Argentina v Uruguay,-2,0,0,0,0
Argentina v Uruguay,-2,0,0,0,0
Austria v France,1,1,0,4,0
Austria v France,1,1,0,4,0
Czechoslovakia v Romania,1,0,0,0,0
Czechoslovakia v Romania,1,0,0,0,0
Belgium v Germany,-3,3,0,4,0
Belgium v Germany,-3,3,0,4,0
Egypt v Hungary,-2,0,1,0,0
Italy v United States,6,7,3,8,1
Italy v United States,6,7,3,8,1
Italy v United States,6,7,3,8,1
Brazil v Spain,-2,2,0,3,0
Brazil v Spain,-2,2,0,3,0
Brazil v Spain,-2,2,0,3,0
Brazil v Spain,-2,2,0,3,0
Brazil v Spain,-2,2,0,3,0
Argentina v Sweden,-1,5,0,6,0
Argentina v Sweden,-1,5,0,6,0
Netherlands v Switzerland,-1,0,0,0,0
Austria v Hungary,1,0,0,0,0
Czechoslovakia v Switzerland,1,0,0,0,0
Germany v Sweden,1,11,2,12,0
Germany v Sweden,1,11,2,12,0
Germany v Sweden,1,11,2,12,0
Italy v Spain,0,2,0,4,1
Italy v Spain,0,2,0,4,1
Italy v Spain,0,2,0,4,1
Italy v Spain,1,2,0,4,1
Italy v Spain,1,2,0,4,1
Italy v Spain,1,2,0,4,1
Czechoslovakia v Germany,2,0,0,0,0
Austria v Italy,-1,6,0,13,1
Austria v Italy,-1,6,0,13,1
Austria v Italy,-1,6,0,13,1
Austria v Italy,-1,6,0,13,1
Austria v Germany,-1,0,0,0,0
Czechoslovakia v Italy,-1,4,0,4,1
Czechoslovakia v Italy,-1,4,0,4,1
Germany v Switzerland,0,0,1,0,0
Germany v Switzerland,0,0,1,0,0
Cuba v Romania,0,0,0,0,0
Cuba v Romania,0,0,0,0,0
Belgium v France,-2,5,0,5,0
Belgium v France,-2,5,0,5,0
Belgium v France,-2,5,0,5,0
Dutch East Indies v Hungary,-6,0,0,0,0
Italy v Norway,1,9,1,11,1
Italy v Norway,1,9,1,11,1
Italy v Norway,1,9,1,11,1
Brazil v Poland,1,7,0,10,0
Brazil v Poland,1,7,0,10,0
Brazil v Poland,1,7,0,10,0
Brazil v Poland,1,7,0,10,0
Czechoslovakia v Netherlands,3,0,0,0,0
Cuba v Romania,1,0,0,0,0
Cuba v Romania,1,0,0,0,0
Germany v Switzerland,-2,0,1,0,0
Germany v Switzerland,-2,0,1,0,0
Brazil v Czechoslovakia,0,1,3,3,0
Brazil v Czechoslovakia,0,1,3,3,0
Brazil v Czechoslovakia,0,1,3,3,0
Brazil v Czechoslovakia,0,1,3,3,0
Brazil v Czechoslovakia,0,1,3,3,0
Hungary v Switzerland,2,0,0,0,0
France v Italy,-2,15,1,18,1
France v Italy,-2,15,1,18,1
France v Italy,-2,15,1,18,1
France v Italy,-2,15,1,18,1
France v Italy,-2,15,1,18,1
Cuba v Sweden,-8,0,0,0,0
Brazil v Czechoslovakia,1,1,3,3,0
Brazil v Czechoslovakia,1,1,3,3,0
Brazil v Czechoslovakia,1,1,3,3,0
Brazil v Czechoslovakia,1,1,3,3,0
Brazil v Czechoslovakia,1,1,3,3,0
Hungary v Sweden,4,0,0,0,0
Hungary v Sweden,4,0,0,0,0
Brazil v Italy,-1,2,0,3,1
Brazil v Italy,-1,2,0,3,1
Brazil v Italy,-1,2,0,3,1
Brazil v Italy,-1,2,0,3,1
Brazil v Italy,-1,2,0,3,1
Brazil v Sweden,2,8,0,10,0
Brazil v Sweden,2,8,0,10,0
Brazil v Sweden,2,8,0,10,0
Brazil v Sweden,2,8,0,10,0
Brazil v Sweden,2,8,0,10,0
Brazil v Sweden,2,8,0,10,0
Brazil v Sweden,2,8,0,10,0
Hungary v Italy,-2,2,0,4,1
Hungary v Italy,-2,2,0,4,1
Brazil v Mexico,4,10,0,12,0
Brazil v Mexico,4,10,0,12,0
Brazil v Mexico,4,10,0,12,0
Brazil v Mexico,4,10,0,12,0
Brazil v Mexico,4,10,0,12,0
Switzerland v Yugoslavia,-3,0,0,0,0
Chile v England,-2,0,0,0,0
Spain v United States,2,0,0,0,0
Italy v Sweden,-1,0,0,0,1
Italy v Sweden,-1,0,0,0,1
Brazil v Switzerland,0,4,0,6,0
Brazil v Switzerland,0,4,0,6,0
Mexico v Yugoslavia,-3,0,0,0,0
Chile v Spain,-2,3,0,6,0
Chile v Spain,-2,3,0,6,0
Chile v Spain,-2,3,0,6,0
England v United States,-1,0,0,0,0
England v United States,-1,0,0,0,0
Paraguay v Sweden,0,8,0,6,0
Paraguay v Sweden,0,8,0,6,0
Brazil v Yugoslavia,2,2,0,0,0
Brazil v Yugoslavia,2,2,0,0,0
Brazil v Yugoslavia,2,2,0,0,0
Brazil v Yugoslavia,2,2,0,0,0
Chile v United States,3,0,0,0,0
England v Spain,-1,1,0,4,0
England v Spain,-1,1,0,4,0
Italy v Paraguay,2,2,0,6,1
Italy v Paraguay,2,2,0,6,1
Bolivia v Uruguay,-8,0,0,0,0
Mexico v Switzerland,-1,0,0,0,0
Brazil v Sweden,6,8,0,10,0
Brazil v Sweden,6,8,0,10,0
Brazil v Sweden,6,8,0,10,0
Brazil v Sweden,6,8,0,10,0
Brazil v Sweden,6,8,0,10,0
Brazil v Sweden,6,8,0,10,0
Brazil v Sweden,6,8,0,10,0
Spain v Uruguay,0,4,0,4,0
Spain v Uruguay,0,4,0,4,0
