manager_id,n_appearances,n_wc,win,lose,draw,goals_difference,n_wc_wins
M-253,9,2,8,0,1,15,2
M-022,18,3,9,3,6,8,1
M-024,14,2,8,2,4,11,1
M-313,4,1,4,0,0,12,1
M-297,21,3,14,4,3,13,1
M-296,25,4,16,4,5,30,1
M-263,10,2,7,2,1,8,1
M-234,24,6,10,9,5,-4,1
M-204,6,1,5,0,1,9,1
M-192,12,2,7,4,1,12,1
M-174,17,3,12,4,1,23,1
M-170,9,2,6,2,1,17,1
M-166,10,2,5,1,4,9,1
M-130,7,1,6,0,1,13,1
M-114,18,4,9,5,4,9,1
M-086,9,2,6,2,1,10,1
M-072,12,2,9,1,2,15,1
M-070,10,2,7,3,0,3,1
M-030,14,2,8,2,4,10,1
M-356,20,3,13,4,3,18,1
M-001,4,1,0,1,3,-3,0
M-002,3,1,0,3,0,-10,0
M-003,8,2,4,3,1,1,0
M-004,8,2,3,3,2,-1,0
M-005,3,1,0,1,2,-1,0
M-006,3,1,0,3,0,-12,0
M-007,3,1,0,2,1,-5,0
M-008,6,2,0,3,3,-4,0
M-009,5,1,3,2,0,2,0
M-010,3,1,1,1,1,-2,0
M-011,3,1,1,2,0,-1,0
M-012,3,1,0,2,1,-2,0
M-013,4,1,3,1,0,5,0
M-014,8,2,2,4,2,-4,0
M-015,3,1,0,2,1,-5,0
M-016,3,1,2,1,0,4,0
M-017,3,1,0,2,1,-3,0
M-018,15,4,5,8,2,3,0
M-019,2,1,1,1,0,0,0
M-020,4,1,2,2,0,2,0
M-021,6,1,4,2,0,8,0
M-023,2,1,0,2,0,-8,0
M-025,7,2,0,3,4,-5,0
M-026,3,1,1,1,1,-3,0
M-027,3,1,1,1,1,0,0
M-028,5,1,2,1,2,3,0
M-029,7,2,3,3,1,-2,0
M-031,8,2,1,3,4,-6,0
M-032,7,1,5,2,0,6,0
M-033,3,1,0,3,0,-3,0
M-034,5,1,2,2,1,-2,0
M-035,3,1,0,2,1,-6,0
M-036,2,1,0,2,0,-7,0
M-037,4,1,0,2,2,-6,0
M-038,3,1,0,2,1,-4,0
M-039,4,1,1,1,2,0,0
M-040,3,1,0,2,1,-4,0
M-041,2,1,0,2,0,-3,0
M-042,3,1,1,2,0,-1,0
M-043,3,1,1,2,0,-1,0
M-044,3,1,0,2,1,-2,0
M-045,6,1,2,2,2,0,0
M-046,1,1,0,1,0,-2,0
M-047,6,1,2,3,1,-5,0
M-048,5,1,3,0,2,5,0
M-049,6,1,1,3,2,-3,0
M-050,7,2,1,2,4,-3,0
M-051,4,1,2,1,1,2,0
M-052,4,1,1,1,2,1,0
M-053,3,1,0,3,0,-9,0
M-054,3,1,1,2,0,1,0
M-055,3,1,0,2,1,-7,0
M-056,9,2,1,3,5,-3,0
M-057,5,1,2,1,2,4,0
M-058,3,1,1,1,1,1,0
M-059,3,1,1,1,1,0,0
M-060,8,2,3,2,3,8,0
M-061,3,1,1,2,0,-2,0
M-062,6,1,4,1,1,16,0
M-063,7,1,4,0,3,7,0
M-064,3,1,0,3,0,-4,0
M-065,3,1,1,2,0,-1,0
M-066,7,1,4,1,2,5,0
M-067,2,1,1,1,0,3,0
M-068,3,1,0,1,2,-1,0
M-069,3,1,0,3,0,-3,0
M-071,7,1,3,2,2,2,0
M-073,4,1,2,2,0,0,0
M-074,4,1,3,1,0,10,0
M-075,5,1,2,2,1,-4,0
M-076,10,2,4,2,4,3,0
M-077,4,1,2,2,0,-2,0
M-078,5,1,3,1,1,5,0
M-079,2,1,1,1,0,-2,0
M-080,6,1,3,2,1,-2,0
M-081,3,1,1,2,0,-4,0
M-082,9,2,2,4,3,-1,0
M-083,13,3,6,2,5,8,0
M-084,3,1,1,2,0,0,0
M-085,4,1,1,1,2,1,0
M-087,3,1,0,2,1,-2,0
M-088,3,1,1,1,1,1,0
M-089,3,1,0,3,0,-8,0
M-090,2,1,0,1,1,-2,0
M-091,3,1,0,3,0,-8,0
M-092,3,1,0,3,0,-6,0
M-093,3,1,1,1,1,1,0
M-094,3,1,1,2,0,0,0
M-095,2,2,0,2,0,-4,0
M-096,6,1,5,1,0,9,0
M-097,6,1,3,2,1,0,0
M-098,3,1,1,2,0,-1,0
M-099,3,2,0,3,0,-7,0
M-100,9,3,2,7,0,-13,0
M-101,3,1,0,1,2,-1,0
M-102,3,1,1,1,1,-3,0
M-103,7,1,6,1,0,11,0
M-104,1,1,0,1,0,-6,0
M-105,5,1,3,0,2,5,0
M-106,3,1,0,2,1,-3,0
M-107,6,2,1,4,1,-7,0
M-108,7,1,4,2,1,4,0
M-109,4,1,1,2,1,0,0
M-110,3,1,0,2,1,-3,0
M-111,1,1,0,1,0,-1,0
M-112,7,1,3,2,2,5,0
M-113,4,1,1,0,3,1,0
M-115,3,1,0,0,3,0,0
M-116,3,1,1,2,0,-1,0
M-117,4,1,2,1,1,2,0
M-118,3,1,1,2,0,-1,0
M-119,10,2,4,4,2,4,0
M-120,18,3,7,5,6,7,0
M-121,4,1,1,0,3,1,0
M-122,7,2,3,3,1,0,0
M-123,4,1,2,1,1,3,0
M-124,7,2,1,4,2,-4,0
M-125,6,1,2,3,1,-1,0
M-126,3,1,0,2,1,-3,0
M-127,4,1,1,2,1,-2,0
M-128,9,2,5,2,2,2,0
M-129,3,1,0,2,1,-4,0
M-131,3,1,1,2,0,-2,0
M-132,3,1,1,2,0,-4,0
M-133,4,1,1,1,2,1,0
M-134,5,1,2,2,1,2,0
M-135,3,1,1,2,0,-1,0
M-136,13,3,6,4,3,5,0
M-137,1,1,0,1,0,-1,0
M-138,3,1,0,2,1,-3,0
M-139,3,1,0,3,0,-5,0
M-140,3,1,1,1,1,0,0
M-141,4,1,1,2,1,-2,0
M-142,3,1,2,1,0,0,0
M-143,3,1,0,1,2,-1,0
M-144,3,1,0,3,0,-11,0
M-145,3,1,0,2,1,-3,0
M-146,2,1,0,2,0,-16,0
M-147,1,1,0,1,0,-1,0
M-148,11,2,6,3,2,7,0
M-149,4,1,1,2,1,3,0
M-150,3,1,1,2,0,0,0
