player_id,total_games_played,n_minutes_played,yellow_card,second_yellow_card,red_card,n_tournaments,n_tournaments_played,total_final_match_played,n_wc_wins,total_goals,total_penalty_scored,total_own_goals
P-06163,20,1950,7,0,0,4,4,1,0,0,0,0
P-08404,20,1639,6,0,0,4,4,3,2,0,0,0
P-02847,19,1554,5,0,1,5,5,0,0,3,0,0
P-02970,9,587,5,0,0,3,3,0,0,2,0,0
P-01993,25,2054,5,0,0,5,5,2,1,6,2,0
P-00491,8,720,4,0,0,2,2,0,0,0,0,0
P-05286,17,1484,4,0,0,3,3,1,0,6,1,0
P-07217,16,1330,4,0,0,3,3,2,1,4,1,0
P-07220,8,627,4,0,0,3,3,0,0,2,2,0
P-00790,13,1199,4,0,0,3,3,0,0,0,0,0
P-04744,8,641,4,0,0,3,3,0,0,0,0,0
P-04762,9,762,4,0,0,2,2,0,0,0,0,0
P-09745,9,617,4,0,1,4,4,0,0,5,0,0
P-03582,12,1111,4,0,2,3,3,2,1,5,2,0
P-00183,8,720,4,0,0,3,3,0,0,0,0,0
P-08577,9,768,4,0,0,3,3,0,0,0,0,0
P-06098,15,1348,4,0,0,3,3,1,0,6,0,0
P-06516,21,1938,4,0,1,4,4,2,1,8,0,0
P-08617,18,1710,4,0,0,4,4,1,1,0,0,0
P-03082,20,1657,4,0,0,3,3,1,1,2,0,0
P-05827,11,1050,4,0,0,2,2,0,0,3,0,0
P-03015,17,1474,4,0,0,4,4,0,0,7,2,0
P-08809,11,927,4,0,0,3,3,0,0,1,0,0
P-09447,11,1050,4,0,0,2,2,0,0,0,0,0
P-02074,10,877,4,0,0,2,2,1,0,0,0,0
P-00201,9,733,4,0,0,3,3,0,0,0,0,0
P-02305,13,1212,4,0,0,3,3,1,1,1,0,0
P-05607,11,841,4,0,0,2,2,1,0,0,0,0
P-00876,17,1524,4,0,0,3,3,1,1,11,0,0
P-04678,8,714,4,0,0,2,2,0,0,0,0,0
P-04363,10,930,4,0,0,2,2,0,0,0,0,0
P-05351,16,1283,4,0,0,3,3,0,0,6,0,0
P-06855,10,869,3,0,0,2,2,0,0,6,3,0
P-01447,9,672,3,0,2,4,4,0,0,0,0,0
P-02956,9,841,3,0,0,2,2,1,0,2,0,0
P-00994,10,584,3,0,0,3,3,0,0,5,0,0
P-06639,7,431,3,0,0,2,2,1,1,0,0,0
P-06854,6,377,3,0,0,2,2,0,0,0,0,0
P-01988,6,378,3,0,0,2,2,0,0,0,0,0
P-05084,11,938,3,0,0,2,2,1,0,0,0,0
P-03171,5,480,3,0,0,1,1,1,0,0,0,0
P-00913,9,761,3,0,0,3,2,0,0,4,0,0
P-01210,8,750,3,0,0,2,2,1,0,0,0,0
P-06863,10,627,3,0,0,2,2,0,0,1,0,0
